protocol,fold,basis,r,R1,rmse_p,rmse_so,relerr,r_energy,seconds,storage_floats,train_rel_error,R2
P1,P1-run1,prior,0,0,0.19334935125885155,0.0013192516446759335,0.008150410809680977,7,,,,
P1,P1-run1,POD,2,0,0.22521630249164806,0.005979698674205309,0.01519718370553016,7,0.05580066700349562,19800.0,,
P1,P1-run1,TBMD,2,48,0.3356646751684579,0.007166646253213476,0.019838386900141485,7,0.902609915996436,18408.0,0.036064090767525675,
P1,P1-run1,POD,5,0,0.06656316940762574,0.0009724953825329317,0.0033123287528193206,7,0.09291541698621586,49500.0,,
P1,P1-run1,TBMD,5,48,0.2573911097251272,0.004352020632019095,0.013557196380061724,7,0.7909355419978965,32550.0,0.01412865377479135,
P1,P1-run1,POD,7,0,0.018385948514917535,0.0006620815078825038,0.0015436180812415674,7,0.04239137499826029,69300.0,,
P1,P1-run1,TBMD,7,48,0.2507580944503666,0.004311691363437995,0.013305021326798474,7,0.8378958750108723,41978.0,0.013895605548107723,
P1,P1-run1,POD,10,0,0.012516733798187765,0.00030981896893639846,0.0008071981790384117,7,0.042036207974888384,99000.0,,
P1,P1-run1,TBMD,10,48,0.25046043488853065,0.004272269067029833,0.013242344848630842,7,0.9165980830148328,56120.0,0.013873435268453036,
P1,P1-run1,POD,16,0,0.0035612377613233204,8.976878072356496e-05,0.0002328687473474257,7,0.04179329198086634,158400.0,,
P1,P1-run1,TBMD,16,48,0.25018962586679677,0.004265450177237688,0.013224992580024408,7,0.853613499988569,84404.0,0.0138703615952605,
P1,P1-run1,POD,20,0,0.0018342449397235315,5.036350747748601e-05,0.00012676621381130332,7,0.06427879200782627,198000.0,,
P1,P1-run1,TBMD,20,48,0.2501706302779093,0.00426494517631764,0.013223737808639077,7,0.9541227919980884,103260.0,0.013870332280894668,
P1,P1-run1,POD,30,0,0.001153878557237739,2.8385699656110094e-05,7.430370418106195e-05,7,0.053417415998410434,297000.0,,
P1,P1-run1,TBMD,30,48,0.25016751462672737,0.004264812467006991,0.013223463820695128,7,0.9461575830064248,150400.0,0.01387032821895667,
P1,P1-run1,POD,50,0,0.0009151753841627196,2.0143512388261323e-05,5.522639687837913e-05,7,0.04905029101064429,495000.0,,
P1,P1-run1,TBMD,50,48,0.25016192437459633,0.004264767212072103,0.013223235559638558,7,1.0456853329960722,244680.0,0.013870328148878949,
P1,P1-run1,TBMD-R1sweep,7,12,1.8388958804511693,0.01875096148369278,0.08244559424398219,7,0.8380657500238158,5006.0,0.10660749734528,12.0
P1,P1-run1,TBMD-R1sweep,7,24,1.0616562105989982,0.012033855291504173,0.04880205548442956,7,4.140619333018549,13298.0,0.06199927414165855,24.0
P1,P1-run1,TBMD-R1sweep,7,48,0.2507580944503666,0.004311691363437995,0.013305021326798474,7,0.8597927910159342,41978.0,0.013895605548107723,48.0
P1,P1-run1,TBMD-R1sweep,7,96,0.018598167020242907,0.0006776579290581196,0.0015755390979791566,7,1.15443958400283,80906.0,0.0009672634980808743,48.0
P1,P1-run1,TBMD-R1sweep,7,139,0.018385948514917035,0.0006620815078824976,0.0015436180812415472,7,1.5155043749837205,115779.0,0.0009261441486877375,48.0
P1,P1-run2,prior,0,0,0.20719142478399438,0.0013524671283455052,0.008072062284329827,8,,,,
