fold,sensing,placement,N,basis,estimator,sigma_p,sigma_so,draw,rmse_p,rmse_so
P2-run1,grid,QR-POD,30,none,IDW,0.0,0.0,0,0.6336244957150661,0.0014053085806788337
P2-run1,grid,QR-POD,30,POD,LS,0.0,0.0,0,0.10065072424109996,0.0012003236230180088
P2-run1,grid,QR-POD,30,POD,L1,0.0,0.0,0,1.705372744748615,0.020875888801848107
P2-run1,grid,QR-POD,30,none,IDW,0.1,0.005,0,0.6327472344118261,0.0029120419792167387
P2-run1,grid,QR-POD,30,POD,LS,0.1,0.005,0,0.11784943608464162,0.0018194282133292968
P2-run1,grid,QR-POD,30,POD,L1,0.1,0.005,0,1.712602372391487,0.02094344694928397
P2-run1,grid,QR-POD,30,none,IDW,0.1,0.005,1,0.6339377267252533,0.002897490175460468
P2-run1,grid,QR-POD,30,POD,LS,0.1,0.005,1,0.11239812223810146,0.0016833223118799584
P2-run1,grid,QR-POD,30,POD,L1,0.1,0.005,1,1.7059882108104862,0.020850844505171617
P2-run1,grid,QR-POD,30,none,IDW,0.1,0.005,2,0.6343670467938417,0.0028441586622252506
P2-run1,grid,QR-POD,30,POD,LS,0.1,0.005,2,0.11271901064216208,0.0016755853480301217
P2-run1,grid,QR-POD,30,POD,L1,0.1,0.005,2,1.7055599684268388,0.02083232083058018
P2-run1,grid,QR-POD,30,none,IDW,0.1,0.005,3,0.6344489370444796,0.0028797716291672545
P2-run1,grid,QR-POD,30,POD,LS,0.1,0.005,3,0.11277029507987534,0.0016753378663605584
P2-run1,grid,QR-POD,30,POD,L1,0.1,0.005,3,1.7054557369894268,0.020886177601682827
P2-run1,grid,QR-POD,30,none,IDW,0.1,0.005,4,0.6348973818888808,0.0029499884111825543
P2-run1,grid,QR-POD,30,POD,LS,0.1,0.005,4,0.11304830259226772,0.001733386283007097
P2-run1,grid,QR-POD,30,POD,L1,0.1,0.005,4,1.706955411027931,0.02089572206247589
P2-run1,grid,QR-POD,30,none,IDW,0.1,0.005,5,0.6356941958056707,0.0028858045533017183
P2-run1,grid,QR-POD,30,POD,LS,0.1,0.005,5,0.11461785075642693,0.0015735858816851784
P2-run1,grid,QR-POD,30,POD,L1,0.1,0.005,5,1.7014596999214235,0.020775792743059334
P2-run1,grid,QR-POD,30,none,IDW,0.1,0.005,6,0.634411920521292,0.002952522078993086
P2-run1,grid,QR-POD,30,POD,LS,0.1,0.005,6,0.11764643808209829,0.0015986529303913262
P2-run1,grid,QR-POD,30,POD,L1,0.1,0.005,6,1.7046497424125866,0.020842725974138
P2-run1,grid,QR-POD,30,none,IDW,0.1,0.005,7,0.6342571299896687,0.0029354741895852377
P2-run1,grid,QR-POD,30,POD,LS,0.1,0.005,7,0.11236807866415849,0.001827676374472296
P2-run1,grid,QR-POD,30,POD,L1,0.1,0.005,7,1.7127643962178416,0.020949318148290038
P2-run1,grid,QR-POD,30,none,IDW,0.1,0.005,8,0.6349728304173184,0.002866479022700641
P2-run1,grid,QR-POD,30,POD,LS,0.1,0.005,8,0.11230054554092131,0.001664906494452161
P2-run1,grid,QR-POD,30,POD,L1,0.1,0.005,8,1.7050563409741881,0.02085000406796813
P2-run1,grid,QR-POD,30,none,IDW,0.1,0.005,9,0.6328448229580804,0.002800569572935994
P2-run1,grid,QR-POD,30,POD,LS,0.1,0.005,9,0.11235739507824717,0.001785135123629079
P2-run1,grid,QR-POD,30,POD,L1,0.1,0.005,9,1.709464992814266,0.020840288009434
P2-run1,grid,QR-POD,30,none,IDW,0.5,0.01,0,0.6560173900030203,0.005112650421363525
P2-run1,grid,QR-POD,30,POD,LS,0.5,0.01,0,0.275515423637911,0.0026607581287920014
P2-run1,grid,QR-POD,30,POD,L1,0.5,0.01,0,1.7398003346357382,0.021005289668923437
P2-run1,grid,QR-POD,30,none,IDW,0.5,0.01,1,0.6614690661458653,0.00575041053312596
P2-run1,grid,QR-POD,30,POD,LS,0.5,0.01,1,0.28767161985669265,0.002762166375020255
P2-run1,grid,QR-POD,30,POD,L1,0.5,0.01,1,1.7419889513121132,0.021012662789397736
P2-run1,grid,QR-POD,30,none,IDW,0.5,0.01,2,0.6678535533682415,0.005072160134776359
P2-run1,grid,QR-POD,30,POD,LS,0.5,0.01,2,0.2664287184923477,0.002602329380027358
