fold,basis,sensing,N,epsilon,admm_iter,rmse_p,rmse_so
P2-run1,POD,grid,10,0.0001,5000,28.921590808620834,0.2718890714260544
P2-run1,POD,grid,10,0.001,5000,29.528755454885275,0.27737352033792084
P2-run1,POD,grid,10,0.01,5000,30.035482480262587,0.2640420431294797
P2-run1,POD,grid,10,0.1,1310,29.54971921590822,0.26621228151495385
P2-run1,POD,grid,10,0.0,0,28.855809470859707,0.2690621909914093
P2-run1,POD,grid,30,0.0001,5000,0.30607339068708994,0.0013989709711314515
P2-run1,POD,grid,30,0.001,5000,0.41897008923802026,0.004616455534999186
P2-run1,POD,grid,30,0.01,5000,1.705372744748615,0.020875888801848107
P2-run1,POD,grid,30,0.1,5000,15.865347252354264,0.14716866811713672
P2-run1,POD,grid,30,0.0,0,0.10065072424109996,0.0012003236230180088
P2-run1,POD,grid,100,0.0001,3760,0.0971583593305004,0.0008283814911389078
P2-run1,POD,grid,100,0.001,3710,0.13127668461306244,0.0015252837251876232
P2-run1,POD,grid,100,0.01,3240,0.5999104627479923,0.008107830622629935
P2-run1,POD,grid,100,0.1,2390,4.052439087899124,0.04312344489032155
P2-run1,POD,grid,100,0.0,0,0.09616821439401521,0.0007758456980831048
P2-run1,POD,wells-joint,5,0.0001,5000,28.90812389382952,0.012594068375883385
P2-run1,POD,wells-joint,5,0.001,5000,28.178303443220216,0.015119897618665518
P2-run1,POD,wells-joint,5,0.01,5000,23.38984126401067,0.06094157031238918
P2-run1,POD,wells-joint,5,0.1,1830,29.327106968592993,0.2719061437965005
P2-run1,POD,wells-joint,5,0.0,0,28.995249245388603,0.012827623073802873
P2-run1,POD,wells-joint,10,0.0001,5000,24.890971497503024,0.02601861538520563
P2-run1,POD,wells-joint,10,0.001,5000,23.174569352421237,0.01933813566391249
P2-run1,POD,wells-joint,10,0.01,5000,13.675978194377185,0.023960000572015284
P2-run1,POD,wells-joint,10,0.1,5000,22.946513438787544,0.15066170545973526
P2-run1,POD,wells-joint,10,0.0,0,0.45476402056384085,0.0008496015444309666
P2-run1,POD,wells-joint,30,0.0001,5000,3.1123419287687737,0.00266941604177222
P2-run1,POD,wells-joint,30,0.001,5000,2.186893931626126,0.002039120469372329
P2-run1,POD,wells-joint,30,0.01,5000,0.6990942491702639,0.008291516125055482
P2-run1,POD,wells-joint,30,0.1,3930,6.433631432952709,0.059131787395097425
P2-run1,POD,wells-joint,30,0.0,0,0.08060812735974805,0.0010527739840201702
P2-run1,POD-E,grid,10,0.0001,5000,1.2290535287529278,0.0017846904391776402
P2-run1,POD-E,grid,10,0.001,3260,1.1229794025238367,0.0017077825417506432
P2-run1,POD-E,grid,10,0.01,140,0.7303804805112395,0.0029088807648795477
P2-run1,POD-E,grid,10,0.1,960,0.5282826901781211,0.0060807620426363606
P2-run1,POD-E,grid,10,0.0,0,0.8069976223248956,0.001505687793940467
P2-run1,POD-E,grid,30,0.0001,270,0.10672074082032765,0.0011764995947645264
P2-run1,POD-E,grid,30,0.001,260,0.12709281645553408,0.001140917115775303
P2-run1,POD-E,grid,30,0.01,110,0.2566030770590387,0.0016766079892887537
P2-run1,POD-E,grid,30,0.1,600,0.393812335254492,0.0047367022796759575
P2-run1,POD-E,grid,30,0.0,0,0.10451083268794491,0.001186030792896881
P2-run1,POD-E,grid,100,0.0001,120,0.09593059259927553,0.0007727647458753619
P2-run1,POD-E,grid,100,0.001,120,0.09554051728543221,0.0007952396621867207
P2-run1,POD-E,grid,100,0.01,160,0.13909994409869086,0.0010217134426551274
P2-run1,POD-E,grid,100,0.1,180,0.2849246213716677,0.002589207973177564
P2-run1,POD-E,grid,100,0.0,0,0.09620474239576837,0.0007702067720324811
P2-run1,POD-E,wells-joint,5,0.0001,5000,0.5555994770160152,0.0006770544206517708
P2-run1,POD-E,wells-joint,5,0.001,2960,0.6798264682086791,0.0011180942265333227
P2-run1,POD-E,wells-joint,5,0.01,150,0.6351645196945549,0.002823069485940112
P2-run1,POD-E,wells-joint,5,0.1,650,0.46946733692903087,0.005064635930108472
P2-run1,POD-E,wells-joint,5,0.0,0,0.37025501494261864,0.0007010749089277271
P2-run1,POD-E,wells-joint,10,0.0001,5000,0.6003783174546147,0.0006430161568415612
P2-run1,POD-E,wells-joint,10,0.001,4490,0.6943943871874898,0.000948394935169154
P2-run1,POD-E,wells-joint,10,0.01,540,0.5630483825263027,0.001259888712982479
P2-run1,POD-E,wells-joint,10,0.1,130,0.4354117618438643,0.0032184026106485157
P2-run1,POD-E,wells-joint,10,0.0,0,0.4264875841648279,0.0006168062812311623
P2-run1,POD-E,wells-joint,30,0.0001,440,0.08307628573796094,0.0010319117525228914
P2-run1,POD-E,wells-joint,30,0.001,430,0.10876921057055727,0.0009172544955822223
P2-run1,POD-E,wells-joint,30,0.01,150,0.20482622582657778,0.0009705408972844282
P2-run1,POD-E,wells-joint,30,0.1,70,0.3298292783105894,0.0027019992247175302
P2-run1,POD-E,wells-joint,30,0.0,0,0.08060812735977922,0.0010527739840201244
P2-run1,TBMD,grid,10,0.0001,5000,0.4156758750861586,0.007144353539493756
P2-run1,TBMD,grid,10,0.001,5000,0.4322491613850921,0.007196292012159815
P2-run1,TBMD,grid,10,0.01,480,0.5859419579880814,0.00740180543003964
P2-run1,TBMD,grid,10,0.1,890,0.5899076027668579,0.009806960912418792
P2-run1,TBMD,grid,10,0.0,0,0.41593006916848513,0.007227487457015548
P2-run1,TBMD,grid,30,0.0001,620,0.35805913354010394,0.004577616064363558
P2-run1,TBMD,grid,30,0.001,610,0.35583845623517707,0.0045425211704054145
P2-run1,TBMD,grid,30,0.01,210,0.4239657187601105,0.0045280401576875354
P2-run1,TBMD,grid,30,0.1,1610,0.4853769664316392,0.006278382237857414
P2-run1,TBMD,grid,30,0.0,0,0.3588765389197816,0.004582777559204937
P2-run1,TBMD,grid,100,0.0001,200,0.32827794013789924,0.004541915025591872
P2-run1,TBMD,grid,100,0.001,190,0.32827810290595794,0.00452628293344721
P2-run1,TBMD,grid,100,0.01,120,0.3373117533686635,0.004531004174087839
P2-run1,TBMD,grid,100,0.1,150,0.4470908720828322,0.0055212110751012514
P2-run1,TBMD,grid,100,0.0,0,0.3282932599809556,0.0045438782875036115
P2-run1,TBMD,wells-joint,5,0.0001,5000,0.7175713468771567,0.004384412204738622
P2-run1,TBMD,wells-joint,5,0.001,5000,0.652226012621922,0.004323966279297614
P2-run1,TBMD,wells-joint,5,0.01,180,1.00251154841071,0.004881819806838406
P2-run1,TBMD,wells-joint,5,0.1,750,0.5626050040601737,0.006859622249917138
P2-run1,TBMD,wells-joint,5,0.0,0,0.6064729886948919,0.004417957845390445
P2-run1,TBMD,wells-joint,10,0.0001,5000,0.4896586920683194,0.00439918284420422
P2-run1,TBMD,wells-joint,10,0.001,4150,0.5141615671227978,0.004355961161338688
P2-run1,TBMD,wells-joint,10,0.01,270,0.8308039428743317,0.00447587451723205
P2-run1,TBMD,wells-joint,10,0.1,120,0.5383607460829375,0.005936322642806532
P2-run1,TBMD,wells-joint,10,0.0,0,1.6890333717815962,0.004397530490799805
P2-run1,TBMD,wells-joint,30,0.0001,790,0.41421006924162285,0.004297230065805847
P2-run1,TBMD,wells-joint,30,0.001,700,0.3779003990832411,0.004265432699561667
P2-run1,TBMD,wells-joint,30,0.01,200,0.38170941975489087,0.004266705138406136
P2-run1,TBMD,wells-joint,30,0.1,60,0.4618436654914285,0.005128864810556851
P2-run1,TBMD,wells-joint,30,0.0,0,0.4221076503501234,0.0043085328092959
P2-run2,POD,grid,10,0.0001,5000,29.531188324089605,0.2591017812011262
P2-run2,POD,grid,10,0.001,5000,30.75337445776321,0.2548748262866216
P2-run2,POD,grid,10,0.01,5000,30.883228457976877,0.26193089168693284
P2-run2,POD,grid,10,0.1,920,29.998440702700265,0.26589012112424093
P2-run2,POD,grid,10,0.0,0,29.403348528725434,0.2595756935309058
P2-run2,POD,grid,30,0.0001,5000,0.2263272219211995,0.000741775289109444
P2-run2,POD,grid,30,0.001,5000,0.5017372904112221,0.0021731372460947885
P2-run2,POD,grid,30,0.01,5000,2.017922699986908,0.02002385698120933
P2-run2,POD,grid,30,0.1,5000,15.857946908237475,0.14084301328588308
P2-run2,POD,grid,30,0.0,0,0.1534541358203987,0.0006860175211796311
P2-run2,POD,grid,100,0.0001,3560,0.09522879327717239,0.0006274545198709638
P2-run2,POD,grid,100,0.001,3550,0.1159977002005123,0.00084542983203444
P2-run2,POD,grid,100,0.01,3440,0.858025959221172,0.005139250386212662
P2-run2,POD,grid,100,0.1,2510,4.2930072137494815,0.04181612964089221
P2-run2,POD,grid,100,0.0,0,0.10134287613957094,0.000617563266079817
P2-run2,POD,wells-joint,5,0.0001,5000,29.310079675434555,0.006209210511616281
P2-run2,POD,wells-joint,5,0.001,5000,28.46586814104948,0.009594781691012907
P2-run2,POD,wells-joint,5,0.01,5000,23.269085532583755,0.05158681329884156
P2-run2,POD,wells-joint,5,0.1,5000,29.882512709982752,0.26751367924367375
P2-run2,POD,wells-joint,5,0.0,0,29.422551561207534,0.0062034154531893735
P2-run2,POD,wells-joint,10,0.0001,5000,25.3145434448307,0.010205351972869692
P2-run2,POD,wells-joint,10,0.001,5000,23.44257381070819,0.009397437894616716
P2-run2,POD,wells-joint,10,0.01,5000,12.251105862455544,0.021861787237636245
P2-run2,POD,wells-joint,10,0.1,5000,17.478714878291857,0.14354754774400436
P2-run2,POD,wells-joint,10,0.0,0,0.5938547896262123,0.0006539689779423879
P2-run2,POD,wells-joint,30,0.0001,5000,2.522887938433218,0.0016587654806447666
P2-run2,POD,wells-joint,30,0.001,5000,1.639007206776299,0.001305783316889565
P2-run2,POD,wells-joint,30,0.01,5000,0.9992288181122589,0.0068158698739309844
P2-run2,POD,wells-joint,30,0.1,3050,6.620557836816318,0.057623363449787475
P2-run2,POD,wells-joint,30,0.0,0,0.20167275102947255,0.0005830418430336689
P2-run2,POD-E,grid,10,0.0001,5000,0.34819755653827505,0.001153160612822826
P2-run2,POD-E,grid,10,0.001,5000,0.3319248397408721,0.0011140275105825056
P2-run2,POD-E,grid,10,0.01,280,0.25767508592091193,0.0018259623420228905
P2-run2,POD-E,grid,10,0.1,80,0.7081340051479267,0.003656838363156368
P2-run2,POD-E,grid,10,0.0,0,0.22298159150451213,0.0010402345290163805
P2-run2,POD-E,grid,30,0.0001,270,0.15267952599314027,0.0006964493249925919
P2-run2,POD-E,grid,30,0.001,270,0.13209137573822824,0.00070338952403972
P2-run2,POD-E,grid,30,0.01,160,0.1669604502616631,0.0011533667951964918
P2-run2,POD-E,grid,30,0.1,220,0.40925668593429104,0.0032541225556052874
P2-run2,POD-E,grid,30,0.0,0,0.15562054951260795,0.0006977250748452515
P2-run2,POD-E,grid,100,0.0001,120,0.10066892960351474,0.0006176994945439508
P2-run2,POD-E,grid,100,0.001,120,0.09512034163566833,0.0006167188194838817
P2-run2,POD-E,grid,100,0.01,110,0.09182853660961199,0.0006940679918224853
P2-run2,POD-E,grid,100,0.1,450,0.22065754901054432,0.0018298032301409435
P2-run2,POD-E,grid,100,0.0,0,0.10135085360981841,0.0006181010830315493
P2-run2,POD-E,wells-joint,5,0.0001,5000,0.5874437202060087,0.0007418238664087515
P2-run2,POD-E,wells-joint,5,0.001,5000,0.306932141853668,0.0007668671532386107
P2-run2,POD-E,wells-joint,5,0.01,70,0.3984349908262594,0.0019567780835138097
P2-run2,POD-E,wells-joint,5,0.1,640,0.7582897903271278,0.004315376098047917
P2-run2,POD-E,wells-joint,5,0.0,0,0.5052668225106555,0.0007854583349296494
P2-run2,POD-E,wells-joint,10,0.0001,5000,0.7723382348986942,0.0008942910323941987
P2-run2,POD-E,wells-joint,10,0.001,1200,0.27472751339982554,0.0006869926331529615
