fold,basis,rank_w1,rank_w2,rank_w3,rank_w4,rank_w5,rank_w6,rank_w7,rank_w8,rank_w9,rank_w10,rank_w11,rank_w12,rank_w13,rank_w14,rank_w15,rank_w16,rank_w17,rank_w18,rank_w19,rank_w20,rank_w21,rank_w22,rank_w23,rank_w24,rank_w25,rank_w26,rank_w27,rank_w28,rank_w29,rank_w30,top10_overlap_configured
P2-run1,POD,26,23,28,5,17,10,27,18,12,20,16,4,1,8,13,11,6,24,19,2,15,29,21,22,0,7,14,25,9,3,1
P2-run1,POD-E,26,23,28,3,17,7,27,18,6,20,16,4,10,0,14,11,12,24,19,8,15,29,21,22,1,5,13,25,9,2,3
P2-run1,TBMD,27,26,29,17,21,16,25,20,9,23,10,4,3,0,19,14,5,24,18,8,12,28,22,6,1,11,7,13,15,2,1
P2-run2,POD,27,23,28,16,19,14,26,21,5,22,17,0,1,10,18,15,2,25,13,9,12,29,20,8,3,7,6,24,11,4,1
P2-run2,POD-E,27,23,28,2,6,7,26,21,12,20,17,4,15,0,16,13,5,25,18,8,10,29,19,22,1,14,9,24,11,3,3
P2-run2,TBMD,27,29,28,16,19,18,25,22,11,23,15,4,3,0,20,14,5,24,17,8,12,26,21,6,1,10,7,13,9,2,0
P2-run3,POD,26,23,28,16,20,13,27,21,8,22,17,4,1,11,14,15,6,25,19,3,12,29,18,9,0,7,5,24,10,2,1
P2-run3,POD-E,26,22,28,2,5,10,27,21,7,20,17,4,14,0,16,12,6,25,19,8,13,29,18,23,1,11,15,24,9,3,3
P2-run3,TBMD,27,28,29,16,6,17,25,22,8,23,15,4,3,0,19,12,5,24,18,7,13,26,20,21,1,11,10,14,9,2,2
P2-run4,POD,26,23,28,6,8,11,27,21,5,20,17,1,0,9,15,13,7,25,19,3,14,29,18,22,2,12,16,24,10,4,3
P2-run4,POD-E,26,19,28,2,20,8,27,17,12,23,16,4,9,0,13,11,7,25,18,6,14,29,21,22,1,5,15,24,10,3,2
P2-run4,TBMD,27,29,28,14,21,13,25,20,8,23,16,4,3,0,19,15,5,24,18,7,10,26,22,6,1,17,11,12,9,2,1
P2-run5,POD,26,23,28,16,8,15,27,21,9,20,17,2,1,11,18,13,6,24,14,3,12,29,19,22,0,7,5,25,10,4,2
P2-run5,POD-E,26,23,28,3,5,16,27,21,9,20,17,4,13,0,15,14,6,24,18,7,12,29,19,22,1,11,8,25,10,2,3
P2-run5,TBMD,27,26,29,16,6,18,25,22,10,23,15,4,3,0,19,12,5,24,17,7,13,28,21,20,1,11,8,14,9,2,1
P2-run6,POD,26,23,28,16,19,14,27,21,12,22,17,0,1,8,13,15,9,24,20,2,11,29,18,7,3,6,5,25,10,4,0
P2-run6,POD-E,26,22,28,2,5,7,27,21,11,20,17,4,15,0,16,13,10,24,19,8,12,29,18,23,1,6,14,25,9,3,3
P2-run6,TBMD,27,26,29,16,6,18,25,22,11,23,15,4,3,0,19,13,5,24,17,7,12,28,21,20,1,10,8,14,9,2,1
P2-run7,POD,26,23,28,5,6,9,27,21,14,20,18,2,16,7,17,15,11,25,19,3,10,29,8,22,0,13,1,24,12,4,3
P2-run7,POD-E,26,23,28,2,5,9,27,21,8,20,17,4,16,0,15,14,12,25,19,6,11,29,18,22,1,13,7,24,10,3,4
P2-run7,TBMD,27,26,29,16,6,18,25,22,11,23,15,4,3,0,19,13,5,24,17,7,12,28,20,21,1,10,8,14,9,2,1
P2-run8,POD,26,22,28,16,6,15,27,21,13,20,10,4,1,9,17,14,11,24,19,2,12,29,7,23,0,8,5,25,18,3,1
P2-run8,POD-E,26,22,28,3,5,6,27,21,7,20,17,4,15,0,16,14,10,24,19,8,13,29,18,23,1,11,12,25,9,2,4
P2-run8,TBMD,26,29,28,16,6,18,25,22,8,23,15,4,3,0,19,12,5,24,17,7,13,27,20,21,1,11,10,14,9,2,2
P2-run9,POD,26,20,28,16,7,11,27,21,14,22,17,2,1,9,15,13,6,24,18,3,12,29,19,23,0,8,4,25,10,5,1
P2-run9,POD-E,26,20,28,3,18,7,27,21,8,22,16,4,9,0,15,12,14,24,17,11,13,29,19,23,1,5,6,25,10,2,3
P2-run9,TBMD,27,26,29,16,19,17,25,21,8,23,15,4,3,0,20,14,5,24,18,9,12,28,22,6,1,11,7,13,10,2,1
P2-run10,POD,27,23,28,6,18,9,26,21,12,20,10,1,0,8,15,11,13,24,19,2,14,29,17,22,5,7,4,25,16,3,2
P2-run10,POD-E,27,23,28,2,5,9,26,21,11,20,17,4,14,0,16,15,8,24,19,6,13,29,18,22,1,12,7,25,10,3,3
P2-run10,TBMD,27,28,29,16,6,17,25,22,11,24,15,4,3,0,14,13,5,23,19,7,10,26,21,20,1,12,8,18,9,2,1
