protocol,fold,model,estimator,wells,channels,joint_rank,rank_pressure,rank_so,coefficients,rmse_p,rmse_so,admm_iterations
P1,P1-run1,joint-4D,LS,10,20,7,7,7,7,0.413145392897972,0.0048077781167303315,0
P1,P1-run1,joint-4D,L1,10,20,7,7,7,7,0.27274789456384796,0.0064427884664841565,20
P1,P1-run1,independent-equal-total,LS,10,20,7,3,4,7,0.13839867014699916,0.00021169035483800506,0
P1,P1-run1,independent-equal-total,L1,10,20,7,3,4,7,0.13537668897762034,0.006039691429942851,230
P1,P1-run1,independent-per-property,LS,10,20,7,7,7,14,0.23663774759150843,0.0007094169187031914,0
P1,P1-run1,independent-per-property,L1,10,20,7,7,7,14,0.13739055210301107,0.00603964581385444,230
P1,P1-run1,joint-4D,LS,30,60,7,7,7,7,0.3154560339416943,0.004389175346679478,0
P1,P1-run1,joint-4D,L1,30,60,7,7,7,7,0.26462991162134847,0.005213853109427798,140
P1,P1-run1,independent-equal-total,LS,30,60,7,3,4,7,0.1277333091888544,0.00039768308276086307,0
P1,P1-run1,independent-equal-total,L1,30,60,7,3,4,7,0.11752164186979892,0.0016470415167507083,70
P1,P1-run1,independent-per-property,LS,30,60,7,7,7,14,0.10516227634064165,0.00011657118509458195,0
P1,P1-run1,independent-per-property,L1,30,60,7,7,7,14,0.11832039024291709,0.0016470221510144767,70
P1,P1-run2,joint-4D,LS,10,20,8,8,8,8,0.4770990585736114,0.00554875557321856,0
P1,P1-run2,joint-4D,L1,10,20,8,8,8,8,0.34078029178061436,0.006881680038470976,30
P1,P1-run2,independent-equal-total,LS,10,20,8,4,4,8,0.3033288035361434,0.00020344412450049802,0
P1,P1-run2,independent-equal-total,L1,10,20,8,4,4,8,0.12651776217184463,0.006103227276090457,230
P1,P1-run2,independent-per-property,LS,10,20,8,8,8,16,0.20223064289089393,0.0015906695307760976,0
P1,P1-run2,independent-per-property,L1,10,20,8,8,8,16,0.1265683127893594,0.0061032668345820384,230
P1,P1-run2,joint-4D,LS,30,60,8,8,8,8,0.38745877269356294,0.004834701945296397,0
P1,P1-run2,joint-4D,L1,30,60,8,8,8,8,0.37807506968643784,0.004900343637174394,140
P1,P1-run2,independent-equal-total,LS,30,60,8,4,4,8,0.10073748282964841,0.0002794927146747086,0
P1,P1-run2,independent-equal-total,L1,30,60,8,4,4,8,0.10674334203001343,0.0017239360543115497,70
P1,P1-run2,independent-per-property,LS,30,60,8,8,8,16,0.10816253816830262,0.00016060474669610003,0
P1,P1-run2,independent-per-property,L1,30,60,8,8,8,16,0.1068285597499427,0.0017239726948197237,70
P1,P1-run3,joint-4D,LS,10,20,7,7,7,7,0.4852841396056415,0.00501437747180063,0
P1,P1-run3,joint-4D,L1,10,20,7,7,7,7,0.3055686953558305,0.006509817586610341,30
P1,P1-run3,independent-equal-total,LS,10,20,7,3,4,7,0.16609133036651494,0.00020221743488543678,0
P1,P1-run3,independent-equal-total,L1,10,20,7,3,4,7,0.13034378643258207,0.006008231366038812,230
P1,P1-run3,independent-per-property,LS,10,20,7,7,7,14,0.3665207375150079,0.00029376884942265805,0
P1,P1-run3,independent-per-property,L1,10,20,7,7,7,14,0.13031001224744077,0.00600823519504495,230
P1,P1-run3,joint-4D,LS,30,60,7,7,7,7,0.315203521277705,0.00461879693842913,0
P1,P1-run3,joint-4D,L1,30,60,7,7,7,7,0.2888347177087923,0.005398913405008496,220
P1,P1-run3,independent-equal-total,LS,30,60,7,3,4,7,0.1493052847316674,0.00037479347797836587,0
P1,P1-run3,independent-equal-total,L1,30,60,7,3,4,7,0.118262232055572,0.0016355908981083801,70
P1,P1-run3,independent-per-property,LS,30,60,7,7,7,14,0.09514054764568845,0.00011691564813825108,0
P1,P1-run3,independent-per-property,L1,30,60,7,7,7,14,0.11835467674567458,0.0016355510347590503,70
P1,P1-run4,joint-4D,LS,10,20,8,8,8,8,0.3960391293833602,0.004560085704922168,0
P1,P1-run4,joint-4D,L1,10,20,8,8,8,8,0.32480220563940576,0.006568686507806542,30
P1,P1-run4,independent-equal-total,LS,10,20,8,4,4,8,0.1132406652782408,0.0007339261928123712,0
P1,P1-run4,independent-equal-total,L1,10,20,8,4,4,8,0.17967801578114512,0.006107948751986077,220
P1,P1-run4,independent-per-property,LS,10,20,8,8,8,16,0.21951894223519478,0.0008350654817458512,0
P1,P1-run4,independent-per-property,L1,10,20,8,8,8,16,0.17950861137200988,0.006108026357643522,220
P1,P1-run4,joint-4D,LS,30,60,8,8,8,8,0.33618307747149107,0.00445720793627303,0
P1,P1-run4,joint-4D,L1,30,60,8,8,8,8,0.2918474589816485,0.005072857951093258,220
P1,P1-run4,independent-equal-total,LS,30,60,8,4,4,8,0.09118824631127956,0.00048567990932645147,0
P1,P1-run4,independent-equal-total,L1,30,60,8,4,4,8,0.17518580048574303,0.001705950269421505,60
P1,P1-run4,independent-per-property,LS,30,60,8,8,8,16,0.0922294885931812,0.00017174468367188794,0
