protocol,wells,model,estimator,rmse_p_mean,rmse_p_std,rmse_so_mean,rmse_so_std
P1,10,independent-equal-total,L1,0.135607530684067,0.020427336255863224,0.00576219758298746,0.00046217826501981235
P1,10,independent-equal-total,LS,0.16248662453277712,0.0707089326309118,0.00030057740730965,0.0001698919095676819
P1,10,independent-per-property,L1,0.13605109401697152,0.020308575843309414,0.00576214648199369,0.0004622706960584465
P1,10,independent-per-property,LS,0.3008913057296579,0.14461161086574667,0.00259139455300998,0.0030361767040837785
P1,10,joint-4D,L1,0.3117514990120485,0.03162775198468071,0.006639785733877771,0.00022342099761259906
P1,10,joint-4D,LS,0.46988693221631983,0.1355704005873013,0.00507699394861254,0.00039284313502462975
P1,30,independent-equal-total,L1,0.12037612320370097,0.026794262634385366,0.0016894603715402502,5.167380858374967e-05
P1,30,independent-equal-total,LS,0.11733118707006525,0.022267391825246664,0.00036100843852697,8.956051145287098e-05
P1,30,independent-per-property,L1,0.12055219878732266,0.026737870083683956,0.00168942144420023,5.168302132723737e-05
P1,30,independent-per-property,LS,0.0986505058998052,0.01490461893835932,0.00017420751536198001,6.955136558703733e-05
P1,30,joint-4D,L1,0.32353422684641203,0.043143230742914616,0.0050642110267079005,0.00024272821255946888
P1,30,joint-4D,LS,0.33810151332556126,0.034632833042958854,0.004588132715417,0.00016485977166014366
P2,10,independent-equal-total,L1,0.34588597418027145,0.06284012070770296,0.0017655779328880998,0.00012697326181777732
P2,10,independent-equal-total,LS,3.3692443005119954,2.980872893939852,0.00629289482231192,0.003315350501096437
P2,10,independent-per-property,L1,0.34617508565153365,0.06287664400407829,0.00176394416655677,0.00012751968880393748
P2,10,independent-per-property,LS,0.5020457121943903,0.18266015142726413,0.0016696806692652899,0.0003596494555208854
P2,10,joint-4D,L1,0.47139362767027987,0.06966610794961328,0.004686479430556461,9.845610031556938e-05
P2,10,joint-4D,LS,6.815707750281717,6.018150561792992,0.017873592918717932,0.011529274158346394
P2,30,independent-equal-total,L1,0.2616073312749581,0.07845827496784427,0.0009843381089191,0.00021579498897651627
P2,30,independent-equal-total,LS,0.27471493000602487,0.07854876732625132,0.0007412093699664701,0.00016231630790100135
P2,30,independent-per-property,L1,0.2613868873762268,0.07852195338289839,0.00098483580782732,0.0002163598717457149
P2,30,independent-per-property,LS,0.36049892515468207,0.09088383035996798,0.00186967218425531,0.0009090260077086605
P2,30,joint-4D,L1,0.4323187181504891,0.06033738423636597,0.00425074497419094,2.365316418593764e-05
P2,30,joint-4D,LS,0.43230391496112935,0.04977053771786464,0.00424163912217312,3.177363223125083e-05
