outer_fold,test_run,raw_pearson,anomaly_pearson,temporal_spatial_mean_pearson,subspace_cosine_mean_16,subspace_cosine_min_16,subspace_cosine_max_16,property_rank1_energy,property_rank2_energy
1,1,-0.6200640258897556,0.24196435178474696,0.8387169277798614,0.46798494571624694,0.013183956106820821,0.9179070511235338,0.6209821758923743,0.3790178241076258
2,2,-0.615848588800529,0.24399811112321226,0.8323207721089482,0.4762825667115944,9.052891351099714e-05,0.9281181547444337,0.6219990555616063,0.37800094443839366
3,3,-0.6186309243840077,0.24255891951692574,0.8256482249394373,0.48408040707478983,0.0243681153658399,0.9233138114129449,0.6212794597584624,0.3787205402415376
4,4,-0.6157907278640622,0.24220073629252736,0.8282768625701914,0.4527856968870084,0.025402760815705343,0.9316451922912611,0.6211003681462627,0.3788996318537372
5,5,-0.6195010659270661,0.2348489691413409,0.7895987712862398,0.4678379737004516,0.00878410067732072,0.928894155707641,0.6174244845706732,0.38257551542932666
6,6,-0.6187581370095853,0.23020364133222843,0.8108873476426015,0.4722812661015969,0.016722733674845086,0.921923464574689,0.6151018206661133,0.38489817933388665
7,7,-0.6137611014938971,0.24797573246437887,0.8288415480917637,0.4903942689213508,0.009243113229568913,0.9231601524500664,0.6239878662321895,0.3760121337678105
8,8,-0.6220926818197433,0.22712573659440558,0.8127936838720673,0.4711738399952812,0.0022670044821102736,0.8922188328092676,0.6135628682972063,0.3864371317027937
9,9,-0.6176751183722713,0.2406830762599723,0.8505386496085531,0.47813360507223623,0.0016984966884402335,0.9224722420336496,0.6203415381299843,0.3796584618700156
10,10,-0.6175959005831428,0.24507243691084757,0.8193877071128454,0.47851223145954785,0.0075498750118299434,0.9262747962649144,0.6225362184554271,0.3774637815445729
