outer_fold,inner_fold,candidate,order,variant,capacity_regime,coefficient_budget,architecture,preprocessing,spatial_ranks,property_rank,property_weights,storage_floats,fit_seconds,elapsed_seconds,status,error,relative_frobenius_p,anomaly_relative_frobenius_p,rmse_p,train_range_nrmse_p,ssim_p,anomaly_ssim_p,relative_frobenius_so,anomaly_relative_frobenius_so,rmse_so,train_range_nrmse_so,ssim_so,anomaly_ssim_so,selection_loss,condition_number
1,1,3D-independent-e9bc2b1d9158,3D,3D-independent,equal_total,32,independent,raw_minmax,"[64, 48]",,"[1.0, 1.0]",120704,0.4600747080039582,0.8521205830038525,ok,,0.0003355779598041,0.0582019461987149,0.0539123388042981,0.0013021454060178,0.999452499199588,0.990875926970144,0.0012290455543202,0.3397982856999693,0.0003306740628427,0.0005056170480536,0.9999691242795292,0.939976707488956,0.1081434786672835,1.0
1,1,4D-A-c5fc8bd2cb2c,4D,4D-A,equal_total,32,joint,raw_minmax,"[64, 48]",2.0,"[1.0, 1.0]",207812,0.3826042500004405,0.6483673330003512,ok,,0.0003634438671458,0.0630044270619861,0.0583889459544572,0.0014102689555504,0.9986876160359636,0.9864085307523844,0.0042710294542415,1.1778033211361507,0.0011491814641056,0.0017571554737734,0.9992237025100592,0.6936261524412396,0.3501976016503312,1.0
1,1,4D-B-f835e7c8452f,4D,4D-B,equal_total,32,shared-independent,raw_minmax,"[64, 48]",,"[1.0, 1.0]",109504,0.2424390829983167,0.5068900410042261,ok,,0.0004550669766653,0.0789013013765403,0.0731088256910099,0.0017657983983681,0.998521440115649,0.9813155059124,0.0042084387220957,1.1605369556458631,0.0011323430066604,0.0017314086369214,0.9992268120848204,0.6981636394279346,0.3499246710880591,1.0
1,1,3D-independent-7cc1fb3009e2,3D,3D-independent,equal_total,32,independent,mean_centered,"[64, 48]",,"[1.0, 1.0]",120704,0.2272237920042243,0.4867397090056329,ok,,0.000340063133919,0.0591148402988383,0.0546319371909968,0.0013195258750199,0.9994417914406082,0.9909300622699868,0.0013251005280693,0.3662334482157232,0.0003565216715904,0.0005451393242246,0.9999445798553778,0.9193767958129008,0.1175487148682794,1.0
1,1,4D-A-a8d848e0bd2f,4D,4D-A,equal_total,32,joint,mean_centered,"[64, 48]",2.0,"[1.0, 1.0]",207812,0.3302422920023673,0.5915199579976615,ok,,0.0001829838213848,0.031754067428517,0.0293967334794701,0.0007100196782628,0.9996398135940342,0.9965861554232724,0.03567276564717,9.835009967965668,0.0095983310956557,0.0146763244540736,0.94670584719935,0.2742700600745997,2.5578339819113123,1.0
1,1,4D-B-2e139466dc24,4D,4D-B,equal_total,32,shared-independent,mean_centered,"[64, 48]",,"[1.0, 1.0]",109504,0.2275678750011138,0.4893290000036359,ok,,0.0003415465146475,0.0594077002017237,0.0548699355304015,0.0013252742519438,0.999433498288307,0.9908454269663703,0.0355494896556987,9.801071510840352,0.009565161856557,0.0146256070418426,0.9472577985891152,0.3426087909823501,2.5484380255169294,1.0
1,1,3D-independent-34daa9e6fa18,3D,3D-independent,equal_total,32,independent,ensemble_anomaly,"[64, 48]",,"[1.0, 1.0]",120704,0.2281355000013718,0.4905412079970119,ok,,0.0003252624726293,0.0557857961413659,0.0522610898675965,0.0012622627694117,0.999530463207983,0.9919701106744984,0.0012888110744535,0.3564965891685025,0.0003467739618771,0.000530234592453,0.9999645510972353,0.9411555192685472,0.1114298925845864,1.0
1,1,4D-A-63c64c98502f,4D,4D-A,equal_total,32,joint,ensemble_anomaly,"[64, 48]",2.0,"[1.0, 1.0]",207812,0.3446954169994569,0.6396285000009811,ok,,0.0001434172358503,0.0251621754289956,0.0230383829536006,0.000556446357002,0.9997873197988572,0.9980168845578224,0.0031698941338229,0.8737518921111588,0.0008529236963717,0.0013041626484613,0.9998390761466256,0.8590977604752886,0.2425891862558997,1.0
1,1,4D-B-852478df5431,4D,4D-B,equal_total,32,shared-independent,ensemble_anomaly,"[64, 48]",,"[1.0, 1.0]",109504,0.2795408750025672,0.5879324579946115,ok,,0.0003252630812559,0.0557859090467974,0.0522611875934947,0.0012622651297866,0.999530460747954,0.9919700774240068,0.0013972919762448,0.3860069432996737,0.0003759593574884,0.0005748605103384,0.999947218028521,0.9294788381407634,0.1202670986410215,1.0
1,1,3D-independent-629bdce16d73,3D,3D-independent,equal_total,32,independent,standardized_anomaly,"[64, 48]",,"[1.0, 1.0]",120704,0.2510990000009769,0.559707749998779,ok,,0.0003252624726293,0.0557857961413614,0.052261089867592,0.0012622627694116,0.999530463208,0.9919701106744984,0.0012888110744535,0.3564965891684996,0.0003467739618771,0.000530234592453,0.9999645510972353,0.9411555192685482,0.1114298925845844,1.0
1,1,4D-A-06f4272272b6,4D,4D-A,equal_total,32,joint,standardized_anomaly,"[64, 48]",2.0,"[1.0, 1.0]",207812,0.3388717909983825,0.614404291001847,ok,,0.0007373010481213,0.1229111931094221,0.1184955123910384,0.0028620236204893,0.9982825197402332,0.9662937768429348,0.0012712842280237,0.3515664086468679,0.0003420620962448,0.0005230299161281,0.9999657595951308,0.942029946036794,0.1300789350791064,1.0
1,1,4D-B-17b80d300b68,4D,4D-B,equal_total,32,shared-independent,standardized_anomaly,"[64, 48]",,"[1.0, 1.0]",109504,0.2825632499952917,0.5575899579998804,ok,,0.0003793285706398,0.0646851853265187,0.0609506275184675,0.0014721412830034,0.9991095826873104,0.9881685173796212,0.0012862006905038,0.3557753860916717,0.0003460711826939,0.0005291600082144,0.9999643879073936,0.9410503795268332,0.1139627807412408,1.0
