outer_fold,test_run,capacity_regime,geometry,budget,role,candidate,variant,selected_4d_variant,solver,iterations,condition_number,relative_frobenius_p,anomaly_relative_frobenius_p,rmse_p,train_range_nrmse_p,ssim_p,anomaly_ssim_p,relative_frobenius_so,anomaly_relative_frobenius_so,rmse_so,train_range_nrmse_so,ssim_so,anomaly_ssim_so
1,1,equal_total,wells,5,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-E,"lasso(l1=0.001,max_iter=20000)",290,12112451.616619278,0.0036776875024427,0.7665216993811246,0.586999488407503,0.0141777956719233,0.99674689327222,0.8059572832781005,0.0127746213175393,4.582485467765591,0.0034375880101792,0.0052562426190588,0.9993374318445948,0.7262991150104376
1,1,equal_total,wells,5,4D,4D-E-4f4328240852,4D-E,4D-E,"lasso(l1=0.001,max_iter=20000)",20000,38679.87564581418,0.0050595697816942,1.0545403938278426,0.807563141632874,0.0195050684717104,0.9944719782422198,0.8416130565948005,0.0027923905823895,1.001680515300828,0.0007514186250343,0.0011489563583433,0.9998918375902958,0.8473550165676976
1,1,equal_total,wells,10,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",12660,1169922942.538911,0.0013579238987278,0.2830251710597421,0.2167396314450712,0.005234911221086,0.998546001169999,0.8769772510361155,0.0040261107912756,1.4442380509004875,0.0010834066889121,0.001656582579172,0.999845929618267,0.810029239272674
1,1,equal_total,wells,10,4D,4D-B-2828b82824ed,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",20000,2224997143.81981,0.0017508488247514,0.3649205147573017,0.2794547833999826,0.0067496699687684,0.997922651976476,0.8949841553158832,0.0027877058001382,1.0,0.0007501579730825,0.0011470287589633,0.9999286315429172,0.8391748015382596
1,1,equal_total,wells,15,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",1190,2235749136.128099,0.0010275728858721,0.2141717897982176,0.1640119661900973,0.0039613801891072,0.9993028519277044,0.8280448521291296,0.003069740369938,1.101170851596261,0.000826052094051,0.0012630746353131,0.999897824091972,0.8262938142881352
1,1,equal_total,wells,15,4D,4D-B-2828b82824ed,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",12750,266815435471.06616,0.0009290084306706,0.1936285017538989,0.148279992024253,0.00358140589672,0.9988645154791174,0.9562614250401574,0.0027877058001382,1.0,0.0007501579730825,0.0011470287589633,0.9999286315429172,0.8391748015382596
1,1,equal_total,wells,20,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",4400,622988.7883922386,0.0011758421903646,0.2450748067538762,0.1876773825219063,0.0045329708699674,0.9994487037955306,0.726894801354129,0.0030080032105006,1.079024626756324,0.0008094389269136,0.0012376722785192,0.9999031046790906,0.8375945507994641
1,1,equal_total,wells,20,4D,4D-B-2828b82824ed,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",70,1321890.323014513,0.0003885178760783,0.0809768046941818,0.0620117381761489,0.0014977691982448,0.999658071285728,0.9864419325489382,0.0027877058001382,1.0,0.0007501579730825,0.0011470287589633,0.9999286315429172,0.8391748015382596
1,1,equal_total,wells,30,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",1330,20148.137611565173,0.0008765865117583,0.182702467841899,0.1399128755788279,0.0033793149755707,0.9996839183233308,0.8821726144695072,0.0027773389411247,0.9962812219951782,0.000747368302112,0.0011427632136436,0.9999091597084904,0.8291870188021736
1,1,equal_total,wells,30,4D,4D-B-2828b82824ed,4D-B,4D-B,"lasso(l1=0.001,max_iter=20000)",130,215026.35788158223,0.0003505528584528,0.0730639491815748,0.055952102628332,0.0013514108515342,0.9999029460019032,0.9832399171254212,0.0026384445480076,0.9464573155018028,0.0007099925014059,0.0010856137600118,0.9999334353051892,0.8460536211189291
1,1,equal_total,grid,30,3D,3D-independent-7db5f3bc9ad5,3D-independent,4D-B,"lasso(l1=0.001,max_iter=20000)",1170,2.215082671357828e+19,0.0113635148003276,2.3684395887100957,1.8137422959054952,0.0438073084912496,0.9963602715315174,0.3498380768722547,0.0029440895834254,1.056097663992914,0.0007922400829981,0.0012113743928739,0.9999359877352192,0.7979288280823205
