outer_fold,capacity_regime,geometry,budget,delta_anomaly_relative_frobenius_p,delta_anomaly_ssim_p,delta_rmse_p,delta_anomaly_relative_frobenius_so,delta_anomaly_ssim_so,delta_rmse_so
,,,,,,,,,
1,equal_per_property,grid,30,-1.2288352258858175,-0.5296852978956378,-0.9410374807581807,-0.10667043899298179,0.05055905319414211,-8.001968030280006e-05
1,equal_per_property,grid,100,-0.1442854809662818,0.10095947948323736,-0.11049328881389722,0.14149186079234588,0.0034733120704361076,0.00010614124749960005
1,equal_per_property,grid,300,-0.0556535399503552,0.018608870262502797,-0.0426192754951375,0.07274931846914734,0.004090045636546025,5.45734812859e-05
1,equal_per_property,wells,5,0.07196438429107677,0.04910417973182024,0.05511005989331952,-3.652021324880419,0.12333643152140639,-0.0027395929147264997
1,equal_per_property,wells,10,0.08189530360563091,0.018006905915375904,0.0627151212526603,-0.4442380509004782,0.02914556226558318,-0.0003332487158296
1,equal_per_property,wells,15,-0.02455516883427769,0.12762107835281022,-0.018804257668267405,-0.10117085159626149,0.012880987250119325,-7.589412096850004e-05
1,equal_per_property,wells,20,-0.1655107751894772,0.2575254598388119,-0.1267475407944659,-0.0790246267563155,0.0015802507388009701,-5.928095383110003e-05
1,equal_per_property,wells,30,-0.15247104329787597,0.14757552295237597,-0.1167617622372236,-0.04983148813994498,0.01686768831899077,-3.738148813879996e-05
1,equal_total,grid,30,-1.2288352221910281,-0.5296853178985711,-0.9410374779287247,-0.10667043899361128,0.0505590531941611,-8.001968030329999e-05
1,equal_total,grid,100,-0.035621013602952584,0.005149902618077684,-0.02727844075173841,-0.21559118931390175,0.07293463865132677,-0.0001617274495902
1,equal_total,grid,300,-0.06022749182895701,0.029219323678410403,-0.04612199096282409,-0.10098380458942563,0.041542433766396436,-7.575380616490004e-05
1,equal_total,wells,5,0.288018694446718,0.0356557733167,0.22056365322537097,-3.5808049524647627,0.12105590155725998,-0.0026861693851449
1,equal_total,wells,10,0.08189534369755957,0.0180069042797677,0.0627151519549114,-0.4442380509004875,0.029145562265585623,-0.0003332487158296
1,equal_total,wells,15,-0.020543288044318708,0.12821657291102784,-0.01573197416584432,-0.10117085159626105,0.012880987250124432,-7.589412096850004e-05
1,equal_total,wells,20,-0.16409800205969438,0.2595471311948092,-0.1256656443457574,-0.07902462675632393,0.00158025073879553,-5.928095383110003e-05
1,equal_total,wells,30,-0.1096385186603242,0.10106730265591402,-0.0839607729504959,-0.049823906493375425,0.01686660231675552,-3.737580070610003e-05
2,equal_per_property,grid,30,-1.6127606202117033,0.8386624561416662,-1.0707783959794768,-1.1363872141196059,0.15765267768604385,-0.0009176518667236
2,equal_per_property,grid,100,-0.0889979654557872,0.08186120845327438,-0.059089425610897695,-0.3633982399115162,0.12152025447690584,-0.00029345021580269993
2,equal_per_property,grid,300,-0.0679085965904849,0.012728608955124399,-0.045087322457583096,-0.21367503363563978,0.08361551582219118,-0.00017254619820749998
2,equal_per_property,wells,5,-0.24738454959224737,0.3991457367717286,-0.1642488214820871,-4.0505816288307885,0.1593379204500358,-0.0032709130715558
2,equal_per_property,wells,10,-0.07042545794616212,0.14950585122186733,-0.04675837067860231,-0.10894903152696722,0.05994649351785031,-8.797818289070004e-05
2,equal_per_property,wells,15,-0.04306938282890291,0.07337140278236931,-0.028595542378325706,-0.3427081512128951,0.08649537364939197,-0.0002767426197641
2,equal_per_property,wells,20,-0.059105528185188494,0.040860039338770804,-0.039242601704490995,-0.18288651305360082,0.07465830918582439,-0.00014768394788059998
2,equal_per_property,wells,30,-0.04203725629870589,0.027884378388337794,-0.0279102709396499,-0.2601522736344395,0.07024861375867808,-0.00021007735441480005
2,equal_total,grid,30,-1.5974412692227502,0.8334399051222718,-1.0606072460432603,-0.8944740545972045,0.12030883519927216,-0.0007223029049767
2,equal_total,grid,100,-0.12439747913252902,0.16241518347138284,-0.0825926250306971,-0.019409493015036028,0.06255842331335426,-1.5673493397399987e-05
2,equal_total,grid,300,-0.05796009720558609,0.02382020240256677,-0.03848210276145339,-0.13228141872545363,0.06450767719241712,-0.00010681947959109998
2,equal_total,wells,5,-0.13122841038541067,0.3388929801546392,-0.08712796246288618,-4.040004591067194,0.1586724573408691,-0.0032623719349364998
2,equal_total,wells,10,0.06676850517674426,0.11888790748702849,0.04433036867288892,-0.5596126880335908,0.05616670197246898,-0.0004518966963335001
2,equal_total,wells,15,-0.035370764786468584,0.0690003003260018,-0.023484111843982497,-0.38219525442492897,0.03534718681762117,-0.0003086291224665001
