capacity_regime,geometry,budget,property,rmse_winner,reconstruction_error_winner,ssim_winner,ranking_differs
equal_per_property,full,9900,p,4D optimized,4D optimized,4D optimized,False
equal_per_property,full,9900,so,3D optimized,3D optimized,3D optimized,False
equal_per_property,grid,30,p,4D optimized,4D optimized,4D optimized,False
equal_per_property,grid,30,so,4D optimized,4D optimized,4D optimized,False
equal_per_property,grid,100,p,4D optimized,4D optimized,4D optimized,False
equal_per_property,grid,100,so,4D optimized,4D optimized,4D optimized,False
equal_per_property,grid,300,p,4D optimized,4D optimized,4D optimized,False
equal_per_property,grid,300,so,3D optimized,3D optimized,4D optimized,True
equal_per_property,wells,5,p,4D optimized,4D optimized,4D optimized,False
equal_per_property,wells,5,so,4D optimized,4D optimized,4D optimized,False
equal_per_property,wells,10,p,4D optimized,4D optimized,4D optimized,False
equal_per_property,wells,10,so,3D optimized,3D optimized,4D optimized,True
equal_per_property,wells,15,p,4D optimized,4D optimized,4D optimized,False
equal_per_property,wells,15,so,4D optimized,4D optimized,4D optimized,False
equal_per_property,wells,20,p,4D optimized,4D optimized,4D optimized,False
equal_per_property,wells,20,so,4D optimized,4D optimized,4D optimized,False
equal_per_property,wells,30,p,4D optimized,4D optimized,4D optimized,False
equal_per_property,wells,30,so,4D optimized,4D optimized,4D optimized,False
equal_total,full,9900,p,4D optimized,4D optimized,4D optimized,False
equal_total,full,9900,so,3D optimized,3D optimized,4D optimized,True
equal_total,grid,30,p,4D optimized,4D optimized,4D optimized,False
equal_total,grid,30,so,4D optimized,4D optimized,4D optimized,False
equal_total,grid,100,p,4D optimized,4D optimized,4D optimized,False
equal_total,grid,100,so,4D optimized,4D optimized,4D optimized,False
equal_total,grid,300,p,4D optimized,4D optimized,4D optimized,False
equal_total,grid,300,so,4D optimized,4D optimized,4D optimized,False
equal_total,wells,5,p,4D optimized,4D optimized,4D optimized,False
equal_total,wells,5,so,4D optimized,4D optimized,4D optimized,False
equal_total,wells,10,p,4D optimized,4D optimized,4D optimized,False
equal_total,wells,10,so,4D optimized,4D optimized,4D optimized,False
equal_total,wells,15,p,3D optimized,4D optimized,4D optimized,True
equal_total,wells,15,so,4D optimized,4D optimized,4D optimized,False
equal_total,wells,20,p,4D optimized,4D optimized,4D optimized,False
equal_total,wells,20,so,4D optimized,4D optimized,4D optimized,False
equal_total,wells,30,p,4D optimized,4D optimized,4D optimized,False
equal_total,wells,30,so,4D optimized,4D optimized,4D optimized,False
