model_label,capacity_regime,geometry,budget,folds,storage_floats_mean,condition_number_median,condition_number_mean,anomaly_relative_frobenius_p_mean,anomaly_relative_frobenius_p_median,anomaly_relative_frobenius_p_std,anomaly_relative_frobenius_p_iqr,anomaly_relative_frobenius_so_mean,anomaly_relative_frobenius_so_median,anomaly_relative_frobenius_so_std,anomaly_relative_frobenius_so_iqr,anomaly_ssim_p_mean,anomaly_ssim_p_median,anomaly_ssim_p_std,anomaly_ssim_p_iqr,anomaly_ssim_so_mean,anomaly_ssim_so_median,anomaly_ssim_so_std,anomaly_ssim_so_iqr,relative_frobenius_p_mean,relative_frobenius_p_median,relative_frobenius_p_std,relative_frobenius_p_iqr,relative_frobenius_so_mean,relative_frobenius_so_median,relative_frobenius_so_std,relative_frobenius_so_iqr,ssim_p_mean,ssim_p_median,ssim_p_std,ssim_p_iqr,ssim_so_mean,ssim_so_median,ssim_so_std,ssim_so_iqr,rmse_p_mean,rmse_p_median,rmse_p_std,rmse_p_iqr,rmse_so_mean,rmse_so_median,rmse_so_std,rmse_so_iqr,train_range_nrmse_p_mean,train_range_nrmse_p_median,train_range_nrmse_p_std,train_range_nrmse_p_iqr,train_range_nrmse_so_mean,train_range_nrmse_so_median,train_range_nrmse_so_std,train_range_nrmse_so_iqr
3D current,equal_per_property,full,9900,10,242016.0,1.0,1.0,0.13691576077083106,0.12226458148479336,0.05746653408295523,0.08750124256417775,0.2558503182557312,0.25038525823626867,0.0697193110873382,0.076256623740938,0.9595879294257339,0.9610200256484573,0.009787508558885894,0.009996153746536174,0.9666553108454231,0.9726450950598435,0.0144081783699101,0.017838597609785234,0.00088156142145488,0.00084603897272275,0.00014147307132097642,0.00010573255706782501,0.0008465122769279901,0.0008274301108225,0.00018451337508542962,0.0002739923786050252,0.9959727884381803,0.9962448642465573,0.001061153198307042,0.0009304917878766306,0.9999755653125261,0.9999761509657833,8.66089471822524e-06,1.0580598188147938e-05,0.14070704136974463,0.1356510013296727,0.021976597005171693,0.01506169580104988,0.00022771036378776,0.00022269669278655,4.967845731003349e-05,7.408966688542503e-05,0.00340550786548867,0.0032763779484059003,0.0005396378531286915,0.00036378333165947496,0.00034818044378747,0.00034051429207985,7.596082595959969e-05,0.00011328677653109999
3D current,equal_per_property,grid,30,10,242016.0,18787.889547541454,23140.13138117015,1.2160566715461993,0.9218253146608462,0.6877155762708591,0.8195769551558902,1.0490902884924367,0.9714256634178591,0.38928727903056837,0.5172554451610727,0.5638993538736232,0.7537539400573123,0.3223795553935783,0.3946651674114171,0.8228429207657257,0.826893973768279,0.035261079415640564,0.05443229922042958,0.007649039990952289,0.006802015422694501,0.002463161870877277,0.0015671028809755242,0.00340687545342018,0.0033414334078209996,0.0009141580302734223,0.0011062261055459497,0.9938807557092867,0.9940281114899931,0.001892987391019455,0.002955344649693714,0.9999328246776414,0.9999328975339055,1.9634700456534696e-05,1.471052218771085e-05,1.2207735729837044,1.0814131547741042,0.3896553181069234,0.25363736493730604,0.0009163521019236499,0.0008988367259408,0.00024575429509181035,0.00029618695939852486,0.0295622906071416,0.02611936645279235,0.009541971555740592,0.0061260973576482,0.0014011478274687898,0.0013743659485882,0.0003757705099777347,0.00045288455585430006
3D current,equal_per_property,grid,100,10,242016.0,6.848623210704068e+18,6.649776048152514e+18,0.2714270817483895,0.27788545606318166,0.1298660349332337,0.2084605250464003,0.36512152831768707,0.3759405785325898,0.0803140738918068,0.09914315824137487,0.8544351985549573,0.8519808954004103,0.09174149470289587,0.09207634060263037,0.9242036976186047,0.9264167566820833,0.01963677597188177,0.021897499121591002,0.00172099036995833,0.00166593462673125,0.000424107096103154,0.00044126867242064985,0.0012079319956043197,0.00122772279998295,0.0001955247733762704,0.0002543142079114251,0.9935730573880581,0.9932097412029538,0.0014955775102326206,0.0020807370061034502,0.9999628641121878,0.9999625806751926,1.4977562429053279e-05,1.6336059890154075e-05,0.2746797144816522,0.26503793727668284,0.0670221709418352,0.06772351776860575,0.00032492063972175005,0.0003305006942448,5.264203395244157e-05,6.847730900325002e-05,0.0066451184611865995,0.0064553618677650505,0.0016152653091002804,0.0016357257818265499,0.00049681977865298,0.0005053519588659,8.049228167991475e-05,0.00010470520287932496
3D current,equal_per_property,grid,300,10,242016.0,310800.0147506227,308697.7812138721,0.22278437620208202,0.22413459722896145,0.0997199870549561,0.1308944210209633,0.33487938111163384,0.3251255627618491,0.09426378276445882,0.07050409997101525,0.9032010776207459,0.9156460583041335,0.0470546690114733,0.07164391700380424,0.9368853745884564,0.9395992980932474,0.023371085088755367,0.017658618822003702,0.00141887474870388,0.0013781925398807,0.00027345475641477724,8.578977155995e-05,0.00110374578839312,0.001076023040567,0.00022947875708195743,0.0002586507362576251,0.9946955754294604,0.994816780983806,0.0012630329773791705,0.0014077502573820455,0.9999675509337859,0.999968626617191,1.2115931766880891e-05,1.7418409183567185e-05,0.22658658166003387,0.2204601096375515,0.04369542649908841,0.012501300137243432,0.00029689679692828004,0.00028930095176815,6.176454777763353e-05,6.978316636779998e-05,0.00548168839395446,0.0053247719120347,0.0010519506452122541,0.00025119706054465077,0.00045396993265493996,0.0004423555085471,9.444105792038308e-05,0.00010670192357809996
3D current,equal_per_property,wells,5,10,242016.0,442464.57172868,441260.36009014846,0.47793230332338277,0.43635005531108884,0.23514748293129636,0.3083135737233714,4.77462400902502,4.100435288288704,2.2016857877805243,2.256034569316938,0.8012200932456022,0.839541506167219,0.142531170031422,0.21024327095831818,0.7258588652886369,0.724995344572072,0.026722131678090382,0.03518891118887624,0.00301140467540133,0.00274554617438015,0.0007580124437088013,0.0006833919480388,0.015430184391241988,0.013602184275195349,0.00542517427256062,0.0057583991204899244,0.994636501595612,0.9949973869444186,0.001401181149368492,0.001276245224010042,0.9991054305150543,0.9992311399969052,0.0004523921145148842,0.0004919675463068707,0.4806629993791699,0.44046377642603524,0.11967606148066157,0.10586904225789617,0.00415046638114443,0.00366185172454795,0.0014590315673989876,0.0015497993579620247,0.01163164563314249,0.0106385193622465,0.002899653209899852,0.0027235093900562,0.00634626901680545,0.0055991529648835,0.0022309316545221823,0.0023697201096199005
3D current,equal_per_property,wells,10,10,242016.0,39690928.03588168,47576517.26411849,0.34736293423811576,0.29484713739998825,0.15413902011527542,0.18571510957748938,1.1559793658570885,1.1885445996271433,0.20604885245971996,0.1926142868439411,0.8356415020150111,0.8516363970492712,0.09737009976462306,0.09379090165132664,0.8309806300041874,0.8247989001556979,0.027107242207350366,0.034780017813518804,0.00220661934374293,0.0021246521423522,0.00021520431175905112,0.00034483235556199976,0.0038544744778874996,0.0038426511860354,0.0006848490510131698,0.0007928913995406996,0.9951335676149758,0.9954890283783433,0.001330047768674895,0.0012700298604993998,0.9998515722830241,0.9998513256729216,4.532461486262068e-05,5.0118695050893614e-05,0.3523218879529266,0.33878139968748167,0.033343201828864036,0.05630310061796684,0.00103683590338139,0.00103449320240345,0.00018432255461375848,0.00021321806465315017,0.00852413590596837,0.00825511821607965,0.0008008886463781288,0.0013598885042010993,0.00158537353754605,0.0015817914315207,0.00028183833093019565,0.00032602099939395
3D current,equal_per_property,wells,15,10,242016.0,61986898.59941523,79744991.21534374,0.2657383808463103,0.2202712806905334,0.1227550749709274,0.1953251890950568,1.067910394551641,1.0556758033532585,0.2101247108356549,0.28696456265486725,0.8748889864827494,0.8935856239853219,0.09670987106447905,0.07012287693535679,0.8400012378758909,0.832998837496558,0.02848400161988398,0.03760605483328916,0.00167414658616265,0.00169021373410135,0.0001962528221586416,0.0002942636692367501,0.00357594554271175,0.00356106874612515,0.0007813200905761988,0.0009696770960524754,0.9955084462798185,0.995991190296866,0.0013844819144495147,0.0014178377984463975,0.9998694188687169,0.9998686757756418,4.614019561556363e-05,4.6119439892855496e-05,0.26726549905547664,0.26933881378306157,0.030393826296020443,0.045650158901537896,0.00096192802167114,0.00095802375806415,0.0002103425251965767,0.0002608938434295999,0.00646759613968495,0.00650533900582125,0.0007450552622716149,0.0011025880568528504,0.00147083566995317,0.0014648658571931,0.00032162415689862436,0.00039891963051527494
3D current,equal_per_property,wells,20,10,242016.0,170668990.75984156,186448977.39026222,0.23619282828268995,0.2338032265642728,0.09403579286774243,0.15434657815401082,1.0283118509441962,1.001298537332231,0.21442622204495362,0.3262077491549721,0.8782743653947124,0.897633982647432,0.09770068607930943,0.05550973926810587,0.849674521391411,0.8445646628489831,0.022609183662852583,0.025635741400046763,0.00152159686899632,0.0014357139457866499,0.0002811034677171137,0.000319572941701125,0.0034347189921464204,0.00336250714525165,0.0007345971259022649,0.001078894148012525,0.9956320613283459,0.9960649386546463,0.0011098535246522228,0.0014371800136625534,0.9998770117584433,0.9998829031332941,4.205206782425186e-05,4.3299010884845224e-05,0.24296583889631904,0.22935274407065476,0.04463430843746331,0.049362484775480914,0.0009239221714300398,0.0009051962194207501,0.00019770384152662784,0.00028977929557820014,0.0058786735530198695,0.0055395556664799995,0.0010783497606866076,0.0012180501736921007,0.00141272283932324,0.0013840899296371,0.00030229898251527053,0.0004430869199649999
3D current,equal_per_property,wells,30,10,242016.0,663275072.7562103,1083160303.1297574,0.24058522388929102,0.22274916140989248,0.09915667601073509,0.16524293058166412,0.8008547080173127,0.8219967392763834,0.12628106033795414,0.17195844017356887,0.8750777255386843,0.905140767288212,0.10606865481872924,0.04553337285059422,0.8615268374267225,0.8578136543907319,0.023135608561778206,0.033547828084425024,0.0015504789559484902,0.0014758618030384502,0.00030746780407791104,0.00028538115482132495,0.0026873157362033804,0.0026447452640895,0.0005473755919029038,0.0005137098995973252,0.995710632456191,0.9961283649001955,0.0011627761760137488,0.0011088589122090209,0.999912546378717,0.9999197927613566,2.7508949253721104e-05,2.4834085975644626e-05,0.2475120050152245,0.236633927366444,0.048433044634207334,0.04416775300470749,0.00072287217826741,0.0007115435482828499,0.0001472529812868927,0.00013857350822452498,0.00598796753455977,0.0057240500713764,0.001166322508168387,0.0010465721331845753,0.00110530742494158,0.00108798538763985,0.00022515711415437608,0.0002118857692212251
3D current,equal_total,full,9900,10,129984.0,1.0,1.0,0.14186178958039022,0.1263885353028021,0.06066108724745004,0.08827384389135286,0.33734609358058193,0.3214712660164065,0.10552323579559011,0.09628857621467973,0.9559644268946551,0.9591491709964783,0.01072148189789523,0.01242758251504239,0.9476223104224211,0.949332312619338,0.022123010052324057,0.02857977947382173,0.00091019203304495,0.0008818009570604,0.00013754020547396305,0.00010210491884740007,0.00111101617500755,0.0010685508856763501,0.0002748287932441401,0.0004388853283105751,0.9958845529790257,0.9961612257055896,0.0010207963192698942,0.0009761867608534258,0.9999674471961193,0.9999669098939126,1.2837082030088853e-05,1.9061623597771415e-05,0.14528368317974222,0.1413610309080767,0.021347772239260647,0.014424853202058413,0.00029886687529525995,0.0002876876245586,7.399931608096278e-05,0.00011840237390137499,0.00351617503555815,0.00341429226390705,0.000524300202489186,0.0003484016396411503,0.0004569822802209801,0.00043988865120055,0.00011314862566838334,0.0001810431040762
