comparison,capacity_regime,geometry,budget,metric,mean_improvement,median_improvement,std_improvement,iqr_improvement,four_d_wins,ties,wilcoxon_p,empirical_advantage,fold_differences
optimized,equal_per_property,full,9900,anomaly_relative_frobenius_p,0.0005495275367433102,0.0018414126134078494,0.0062967984932180985,0.0021959616576133997,9,0,0.083984375,True,"[0.0038981494682600003, -0.0169727711134634, 0.0021655984757519998, 0.004608491523855802, 0.0010383420061952, 0.001517226751063699, 0.004304932982910001, 0.0012828127305313003, 0.0022951644797979997, 0.0013573280625305004]"
optimized,equal_per_property,full,9900,anomaly_relative_frobenius_so,-0.03396362391473482,-0.03169429209391718,0.03719645528378901,0.048937081222368416,2,0,0.01953125,False,"[-0.007175293180805009, 0.0265386316043095, -0.05116421069003041, 0.002921699276338896, -0.09349483923995047, -0.0767472970869178, -0.03235792091907369, -0.06080908484607919, -0.016317260796379296, -0.031030663268760666]"
optimized,equal_per_property,full,9900,anomaly_ssim_p,3.0162732333016695e-05,0.00015977151353829822,0.0004854976060819748,6.184283677146407e-05,9,0,0.083984375,True,"[0.00019731270352252306, -0.0013433898226039576, 0.0001455587228575972, 0.0002076710614877797, 0.0001621033839408481, 0.0001424652726808029, 0.00025072745149579134, 0.00015743964313574832, 0.00027872857398159034, 0.00010301033283144356]"
optimized,equal_per_property,full,9900,anomaly_ssim_so,-0.0051144213388725655,-0.0028361815633644594,0.006947626240287984,0.007140298802623762,2,0,0.02734375,False,"[-0.004372430674851158, 0.004256383195553215, -0.006346660962965989, 0.000504525562413427, -0.016757675203105782, -0.001299932451877761, -0.0011457331473759824, -0.015920679497424595, -0.0011376272053946757, -0.008924383003696357]"
optimized,equal_per_property,full,9900,relative_frobenius_p,7.44134832775341e-06,1.6292755748254423e-05,2.7528083982793215e-05,6.011837731299648e-06,9,0,0.083984375,True,"[1.870289594364827e-05, -7.043358579544548e-05, 1.6993861460059643e-05, 1.55916500364492e-05, 1.2890201017270382e-05, 1.2158363346458065e-05, 1.9750049969450512e-05, 1.7303954150898354e-05, 1.9796144021787428e-05, 1.1659949126957737e-05]"
optimized,equal_per_property,full,9900,relative_frobenius_so,-0.00011686164334220998,-0.00010286122539404999,0.00012062670844168275,0.00017750810803317496,2,0,0.013671875,False,"[-2.0002606417800065e-05, 7.965708078790004e-05, -0.00014557730980579997, 8.37773315900004e-06, -0.0002791222746249, -0.0002722352794255, -0.00010047483098969993, -0.00023961356697179998, -9.437775933509988e-05, -0.00010524761979840004]"
optimized,equal_per_property,full,9900,ssim_p,1.052949784852153e-06,1.8601764884051963e-05,6.138000387569397e-05,2.878153551849616e-06,9,0,0.083984375,True,"[2.444647186272686e-05, -0.00017312674515135296, 1.8179763381254155e-05, 2.1036020767861707e-05, 1.7871928491230982e-05, 1.8352865951420938e-05, 2.0200100758760442e-05, 1.885066381668299e-05, 3.118018505576803e-05, 1.3538242914168386e-05]"
optimized,equal_per_property,full,9900,ssim_so,-5.2437750985734334e-06,-4.264741944981498e-06,5.4092683059703505e-06,8.625261925132577e-06,1,0,0.013671875,False,"[-8.754411846556565e-07, 2.3359297923741806e-06, -3.834221879994715e-06, -6.590583035981368e-07, -1.0964731322338217e-05, -1.4498023149678296e-05, -1.5280016336660651e-06, -1.0468215796977098e-05, -7.250725497232047e-06, -4.695262009968282e-06]"
optimized,equal_per_property,full,9900,rmse_p,0.0011853381585753598,0.0026124924685896,0.004402088029138277,0.0009483400009863753,9,0,0.083984375,True,"[0.0029851884760105996, -0.011268923856669801, 0.0027313658612725, 0.0024936190759067, 0.0020373645165239, 0.0019535001537881996, 0.0031603063965816008, 0.002735659553802201, 0.003149821049530401, 0.0018754803590072993]"
optimized,equal_per_property,full,9900,rmse_so,-3.1426536965559995e-05,-2.7682936583450007e-05,3.2434093922659135e-05,4.7671002786524996e-05,2,0,0.013671875,False,"[-5.382603388800008e-06, 2.1430393205199998e-05, -3.919311377290001e-05, 2.253512353299998e-06, -7.49789005759e-05, -7.332572558559997e-05, -2.7034448083900007e-05, -6.43354415659e-05, -2.5367617158100005e-05, -2.8331425083000006e-05]"
optimized,equal_per_property,full,9900,train_range_nrmse_p,2.8746040700759995e-05,6.30995416817e-05,0.00010636985541339158,2.3196674479575e-05,9,0,0.083984375,True,"[7.210124214910001e-05, -0.0002721782608632, 6.597071444659999e-05, 6.02283689168e-05, 4.920845485379999e-05, 4.71828793252e-05, 7.633086439819999e-05, 6.724006430039998e-05, 7.607761186390001e-05, 4.5298467616800003e-05]"
optimized,equal_per_property,full,9900,train_range_nrmse_so,-4.805273420747e-05,-4.2328583489250005e-05,4.959333878349622e-05,7.289132839592503e-05,2,0,0.013671875,False,"[-8.230267632399987e-06, 3.2768134452099975e-05, -5.992821547470001e-05, 3.445732193199983e-06, -0.0001146464589621, -0.00011211867238169999, -4.133701239950001e-05, -9.837208207420003e-05, -3.8788345216400004e-05, -4.3320154579e-05]"
optimized,equal_per_property,grid,30,anomaly_relative_frobenius_p,0.8311555432822173,0.5850083992901227,0.4881614569496627,0.6772585967747431,10,0,0.001953125,True,"[1.758344450244071, 1.0946174299654468, 0.555609743476439, 1.2438631313148396, 0.275544165810242, 0.6144070551038063, 1.3186977990568391, 0.5334504517614138, 0.38911387773921563, 0.5279073283498597]"
optimized,equal_per_property,grid,30,anomaly_relative_frobenius_so,0.25682161297609085,0.28179635047224094,0.23390324292675363,0.41313176064797774,8,0,0.013671875,True,"[0.3263305938728654, 0.5720947590583183, 0.23726210707161655, -0.003043048635546497, 0.10429522504609118, 0.012102966040217433, 0.41438853377507023, -0.0679349850764912, 0.4595808773278614, 0.5131391012809057]"
optimized,equal_per_property,grid,30,anomaly_ssim_p,0.3948613127454843,0.27507421876912636,0.40620360606361927,0.49617538364634384,9,0,0.01953125,True,"[-0.1978841157524413, 0.4827991221165518, 0.19052992487066855, 0.7885947230804556, 0.07268085115930878, 0.1848103603210659, 1.18048608136426, 0.7246076292786766, 0.35961851266758416, 0.16237003834871344]"
optimized,equal_per_property,grid,30,anomaly_ssim_so,0.05688275677155108,0.058954566093930794,0.038466223216283804,0.06980789646655841,10,0,0.001953125,True,"[0.09351240418302109, 0.10590799372067827, 0.05322902616872982, 0.008024688733600294, 0.03380999754357117, 0.018704582729210717, 0.06468010601913177, 0.006181066925312395, 0.08861811904837369, 0.09615958264388158]"
optimized,equal_per_property,grid,30,relative_frobenius_p,0.00510280184385919,0.0045386804840136,0.001642856255694072,0.0015220950589833991,10,0,0.001953125,True,"[0.008436344874350198, 0.0045424421357794995, 0.0043599749040363, 0.0042082921355742, 0.0034206645452446996, 0.0049235779776109, 0.006049884523027199, 0.007195751912465199, 0.0033561665982559997, 0.0045349188322477]"
optimized,equal_per_property,grid,30,relative_frobenius_so,0.0009065175586072799,0.00079239727379575,0.0009389973541390984,0.0014995194314206752,8,0,0.013671875,True,"[0.000909713689302, 0.0017171721255323, 0.0006750808582895, -8.725692498499742e-06, 0.0003113660677319999, 4.2931210178099926e-05, 0.0012867210473521003, -0.0002676926340457, 0.0026581798242188, 0.0017404290900121999]"
optimized,equal_per_property,grid,30,ssim_p,0.001314591737301285,0.0011358183167424762,0.0007790559128324397,0.0004799111121611688,10,0,0.001953125,True,"[0.003231336994033218, 0.0009345495178214591, 0.0009142383929153786, 0.00105044739432969, 0.00041257993889420863, 0.0012211892391552626, 0.0013556995637108438, 0.001844558267540819, 0.001413736527167142, 0.000767581537444828]"
optimized,equal_per_property,grid,30,ssim_so,1.1176821414371484e-05,7.901327581050221e-06,3.122400409842744e-05,4.3272269336397384e-05,6,0,0.322265625,False,"[2.757118993645946e-05, 1.3019144227244261e-05, 2.7835109348561815e-06, -9.745565706653636e-07, -1.9439276429999985e-05, -1.921543852345664e-05, 2.8965671756031597e-05, -2.7966022458247863e-05, 7.57605740190348e-05, 3.12634172524584e-05]"
optimized,equal_per_property,grid,30,rmse_p,0.8147959776244489,0.7280973439708746,0.26101040680698795,0.24384959261037864,10,0,0.001953125,True,"[1.3465336905279761, 0.7267617284180218, 0.700764016281897, 0.6730447080151108, 0.5406541417062176, 0.7910777184704534, 0.9680729307660969, 1.1376086236973708, 0.5340092588376174, 0.7294329595237273]"
optimized,equal_per_property,grid,30,rmse_so,0.00024387108320477,0.00021327421547219998,0.00025249914125263627,0.00040345300610509995,8,0,0.013671875,True,"[0.00024479949685439993, 0.0004619761794833, 0.00018174893409000003, -2.3471093507999906e-06, 8.364035248200003e-05, 1.1563387901800007e-05, 0.0003462140021578999, -7.187457719079997e-05, 0.0007144870634080999, 0.0004685031022118]"
