model_label,capacity_regime,geometry,budget,variant,architecture,preprocessing,spatial_ranks,property_rank,property_weights,solver,outer_folds_selected
3D optimized,equal_per_property,full,9900,3D-independent,independent,raw_minmax,"[80, 48]",,"[1.0, 1.0]",projection,10
3D optimized,equal_per_property,grid,30,3D-independent,independent,raw_minmax,"[80, 48]",,"[1.0, 1.0]",ridge(alpha_relative=1e-06),9
3D optimized,equal_per_property,grid,30,3D-independent,independent,raw_minmax,"[80, 48]",,"[1.0, 1.0]",ridge(alpha_relative=1e-08),1
3D optimized,equal_per_property,grid,100,3D-independent,independent,raw_minmax,"[80, 48]",,"[1.0, 1.0]",ridge(alpha_relative=1e-08),7
3D optimized,equal_per_property,grid,100,3D-independent,independent,raw_minmax,"[80, 48]",,"[1.0, 1.0]",ridge(alpha_relative=1e-06),3
3D optimized,equal_per_property,grid,300,3D-independent,independent,raw_minmax,"[80, 48]",,"[1.0, 1.0]",least_squares(rcond=1e-10),8
3D optimized,equal_per_property,grid,300,3D-independent,independent,raw_minmax,"[80, 48]",,"[1.0, 1.0]",ridge(alpha_relative=1e-08),2
3D optimized,equal_per_property,wells,5,3D-independent,independent,raw_minmax,"[80, 48]",,"[1.0, 1.0]",ridge(alpha_relative=1e-06),6
3D optimized,equal_per_property,wells,5,3D-independent,independent,raw_minmax,"[80, 48]",,"[1.0, 1.0]",ridge(alpha_relative=1e-08),4
3D optimized,equal_per_property,wells,10,3D-independent,independent,raw_minmax,"[80, 48]",,"[1.0, 1.0]",ridge(alpha_relative=1e-06),8
3D optimized,equal_per_property,wells,10,3D-independent,independent,raw_minmax,"[80, 48]",,"[1.0, 1.0]",ridge(alpha_relative=0.0001),1
3D optimized,equal_per_property,wells,10,3D-independent,independent,raw_minmax,"[80, 48]",,"[1.0, 1.0]",ridge(alpha_relative=1e-08),1
3D optimized,equal_per_property,wells,15,3D-independent,independent,raw_minmax,"[80, 48]",,"[1.0, 1.0]",ridge(alpha_relative=1e-06),6
3D optimized,equal_per_property,wells,15,3D-independent,independent,raw_minmax,"[80, 48]",,"[1.0, 1.0]",ridge(alpha_relative=0.0001),2
3D optimized,equal_per_property,wells,15,3D-independent,independent,raw_minmax,"[80, 48]",,"[1.0, 1.0]",ridge(alpha_relative=1e-08),2
3D optimized,equal_per_property,wells,20,3D-independent,independent,raw_minmax,"[80, 48]",,"[1.0, 1.0]",ridge(alpha_relative=1e-06),10
3D optimized,equal_per_property,wells,30,3D-independent,independent,raw_minmax,"[80, 48]",,"[1.0, 1.0]",ridge(alpha_relative=1e-06),9
3D optimized,equal_per_property,wells,30,3D-independent,independent,raw_minmax,"[80, 48]",,"[1.0, 1.0]",ridge(alpha_relative=0.0001),1
3D optimized,equal_total,full,9900,3D-independent,independent,raw_minmax,"[80, 48]",,"[1.0, 1.0]",projection,10
3D optimized,equal_total,grid,30,3D-independent,independent,raw_minmax,"[80, 48]",,"[1.0, 1.0]",ridge(alpha_relative=1e-06),9
