model_label,capacity_regime,geometry,budget,folds,storage_floats_mean,condition_number_median,condition_number_mean,anomaly_relative_frobenius_p_mean,anomaly_relative_frobenius_p_median,anomaly_relative_frobenius_p_std,anomaly_relative_frobenius_p_iqr,anomaly_relative_frobenius_so_mean,anomaly_relative_frobenius_so_median,anomaly_relative_frobenius_so_std,anomaly_relative_frobenius_so_iqr,anomaly_ssim_p_mean,anomaly_ssim_p_median,anomaly_ssim_p_std,anomaly_ssim_p_iqr,anomaly_ssim_so_mean,anomaly_ssim_so_median,anomaly_ssim_so_std,anomaly_ssim_so_iqr,relative_frobenius_p_mean,relative_frobenius_p_median,relative_frobenius_p_std,relative_frobenius_p_iqr,relative_frobenius_so_mean,relative_frobenius_so_median,relative_frobenius_so_std,relative_frobenius_so_iqr,ssim_p_mean,ssim_p_median,ssim_p_std,ssim_p_iqr,ssim_so_mean,ssim_so_median,ssim_so_std,ssim_so_iqr,rmse_p_mean,rmse_p_median,rmse_p_std,rmse_p_iqr,rmse_so_mean,rmse_so_median,rmse_so_std,rmse_so_iqr,train_range_nrmse_p_mean,train_range_nrmse_p_median,train_range_nrmse_p_std,train_range_nrmse_p_iqr,train_range_nrmse_so_mean,train_range_nrmse_so_median,train_range_nrmse_so_std,train_range_nrmse_so_iqr
3D optimized,equal_total,grid,30,10,149728.0,1.3008520824582474e+19,1.7424423798926258e+19,1.1672166178804146,0.8469147621001982,0.6188526065209894,0.9681139881624823,0.8435602888488504,0.7543280888981454,0.28680888164539015,0.3876957745148004,0.4057833019460423,0.39894768808418946,0.39190259831647994,0.42711152735629,0.8562274372598679,0.8598215881313569,0.03415987194321255,0.02614511618524773,0.007308008830613199,0.0064730816873646,0.001864386635313461,0.001931427766249525,0.00288918120970104,0.0027358692598677,0.0011667085462895598,0.0016676397237099,0.997838145414296,0.9978406229171402,0.000699258375877093,0.0006074601670061908,0.9999240882470637,0.9999241648331181,4.007967294022714e-05,4.4226148997350556e-05,1.1664697052540407,1.0290150541046763,0.2944408984731942,0.30846426238796476,0.00077708568282172,0.00073604709266325,0.000313710746308002,0.0004476624490560749,0.02824148117588037,0.02485379539257995,0.007222210419323624,0.007450322911979848,0.0011882025631381903,0.0011254525227092,0.00047967929545894886,0.00068449809480175
3D optimized,equal_total,grid,300,10,149728.0,5297.807296431281,5341.909280662862,0.14782533365615497,0.1430610955128219,0.07121359611882505,0.10688977059799404,0.3750382019551338,0.36185629541968856,0.1137319325108568,0.1145027289973104,0.9411867754275057,0.9333283590040224,0.036025216097352604,0.05921456669921288,0.9271688638495293,0.9328715044570978,0.026491136819663644,0.035012714947919577,0.0009179631150446701,0.0008512043827196,0.00019485856924759325,0.0002209647869370749,0.0012348126809776298,0.00118338674194215,0.00028517148583128164,0.00035518159576182506,0.9995918585743778,0.9996182679948249,0.00013082416503391436,0.0001851989956698219,0.9999657105864328,0.99996546600319,1.4367394243665781e-05,2.3169603872719158e-05,0.14672500595512997,0.1357820903434743,0.03182600624468813,0.03595023804581507,0.0003321569651885,0.0003185686211999,7.676594984819223e-05,9.605044013349999e-05,0.00354849487685168,0.0032795441406926,0.0007626973401631546,0.0008683053252687496,0.0005078844793125999,0.0004871072271859,0.00011737894596144551,0.00014686588838287506
3D optimized,equal_total,wells,5,10,149728.0,50060022.90815012,47789309.239874095,0.49775112053006154,0.4127201498849393,0.2652268786322226,0.3818684692391826,2.07082170374246,2.0028217848822845,0.3781310426838908,0.35666723371017506,0.8177419389623006,0.8529657804171489,0.14544766902119236,0.15593651292296162,0.7622032208088638,0.7644488097643869,0.011302585520047422,0.016686819144386966,0.0030435417173427697,0.0030121517967196497,0.0005536839924700268,0.0004561748451348,0.00685360574570546,0.00707962741018745,0.0008094955036691436,0.0011636034380064003,0.997248921810851,0.9974478257222885,0.0006480770491622561,0.0008648691319207424,0.9996770420177444,0.9996592845406047,8.10994990033192e-05,0.00010584531407831221,0.4860283780921648,0.48302976402076636,0.08799309059438015,0.07070447001643104,0.00184354469741809,0.0019057648577722,0.0002179599763605172,0.0003140012659507748,0.01176039472931716,0.011666619757590951,0.002130430141537498,0.0017611069843806258,0.00281887130744439,0.00291400901959885,0.00033327161765830775,0.0004801235144065502
3D optimized,equal_total,wells,15,10,149728.0,8475663428.372751,17852777247.966297,0.21234480244008963,0.1697920920070662,0.11959783845038917,0.15658880422623778,1.0591387480776795,0.9833340941111822,0.2423835544947135,0.28621036096260155,0.9390874552730581,0.9438469557567122,0.034597747631631155,0.053350326568829876,0.8497277220278612,0.8523533524783566,0.029136614406443453,0.03714778959099119,0.00131310732894986,0.00129087093356005,0.00031145795827342644,0.0003608848290898251,0.0035496279943034495,0.0033897483717659,0.0008838972099649045,0.00099472111041145,0.9988066785681331,0.9989063649873511,0.0004800922096578273,0.0005879743946660687,0.9998760173801063,0.9998940992242913,5.1094843763128406e-05,4.0243112745974585e-05,0.20964981421649384,0.20691817799221934,0.04944933559489643,0.05692319310958954,0.0009548301329304499,0.0009121916055956001,0.00023784423708261658,0.00026925082921182503,0.005073876929752719,0.00499769370555865,0.0012016106789150202,0.0014514088345746745,0.0014599826459160202,0.0013947862221654998,0.0003636756388343703,0.0004116978763974749
3D optimized,equal_total,wells,30,10,149728.0,29009.760035905092,29387.29611096772,0.19128276818917703,0.161780352391831,0.1202482059608864,0.1648133649786161,0.7325243933413801,0.762699819264157,0.15361921872810835,0.0946629997438847,0.920467256262001,0.9405347666976849,0.062262731563636285,0.12101194653588132,0.8819579132447748,0.8839524738636896,0.03207311506617536,0.031645485993294864,0.00118667794576787,0.0009863375328556501,0.0005198021341172352,0.00025516602042084994,0.0024863228126832198,0.0023229645999369,0.0007956242445935197,0.0006599153507990748,0.9994787069353432,0.9995006835069586,0.00018242280884455474,0.0002364409661516076,0.9999250708275496,0.999931680713685,3.9122637926042546e-05,3.9929566961083296e-05,0.18941028898301454,0.15801914983908638,0.08273117972140512,0.039609355603699714,0.00066878734497972,0.0006250239985919001,0.00021388104980565325,0.00017822329909670002,0.00458110406720138,0.00381663572611885,0.001994753553637836,0.0009409892795608256,0.00102260903149542,0.0009556927036065001,0.0003270347365852152,0.00027251226663797487
4D optimized,equal_total,grid,30,10,141673.6,2.426381988540456e+18,3.146647944127573e+18,0.350004218280516,0.3235795083440503,0.1615157209119858,0.16681716737514427,0.46535306953698113,0.4562010638901614,0.1351872499583897,0.10465506613095432,0.7695851291134317,0.842938066944485,0.2536620271974715,0.16370576145858506,0.9324474797727156,0.9281681151926389,0.018566544537203546,0.025085045965658526,0.0023315083756927702,0.00228150586545215,0.000868105026197873,0.0015057774088204248,0.00152965628392051,0.0014518004548624,0.00033124853211762933,0.0003516292293425749,0.999071214284746,0.9992551624298073,0.00038204586753995135,0.0006369080352374157,0.9999491904967328,0.9999488054688634,1.993045359119035e-05,3.226835222713831e-05,0.37170989762744977,0.3658010412211665,0.13662423270915908,0.23509092718378538,0.00041146386333476006,0.00039041155011465,8.917334378172464e-05,9.503495029685003e-05,0.00900002812460832,0.00883519069681045,0.00332703291387892,0.005757294757751776,0.0006291486612876799,0.00059695862989075,0.0001363504668626826,0.00014531315404045
4D optimized,equal_total,grid,300,10,155097.6,511.619261574089,3633.9339663169535,0.09628690920460478,0.08467743374976519,0.03860805793011349,0.04473584236344405,0.34777333899335805,0.3394674639868943,0.0884813955892898,0.10773923455259121,0.967191750220778,0.9697844347778344,0.021348182618367625,0.025261373711303214,0.9480029373765294,0.947597793980255,0.0177200991789424,0.022666829929797405,0.00064088990312502,0.00063476306767395,0.0001854397120353109,0.000150019199116425,0.0011440471747808899,0.0011344083557693,0.0002120123677793509,0.0002526532537791,0.9993468550118548,0.999489580294574,0.00046923194698710225,0.0007851235216902452,0.9999616980466779,0.999964928626399,1.8515577359008348e-05,1.3824701265652273e-05,0.10229357063438108,0.10127298384120975,0.029230627082651672,0.024109540786463643,0.00030773778223563004,0.0003051366165186,5.709613231271415e-05,6.796853690124998e-05,0.00247469231816122,0.0024460458660397503,0.0007048260303910553,0.0005723263055597747,0.00047054633705142997,0.00046656902561665,8.730281905714769e-05,0.00010392726509337501
4D optimized,equal_total,wells,5,10,180450.0,3114336.45497077,5176236.112548551,0.42061388300565916,0.3202444247649794,0.28702403427644235,0.22039523337226335,0.9496568968574477,0.9731134771874212,0.17360270380081622,0.20317450581045637,0.9217829332405667,0.9179271213018367,0.03887768741980247,0.04936926401972397,0.8660358073982541,0.8625185840939186,0.01961108952237456,0.020412639448409542,0.0025728079163399504,0.0025793388020222997,0.0009030255093556859,0.0009476827690691003,0.0032012108958872202,0.00302812337470115,0.0007938581169975617,0.0008326474159491,0.9973321898717536,0.9980202465592395,0.001178761024247484,0.00189299724694314,0.9998814573756283,0.9998789793866693,3.8888799366666526e-05,4.895782300051721e-05,0.4106303857133472,0.40907027161639964,0.14355262009370506,0.1467157175463974,0.0008611322155584201,0.0008149999970616,0.00021373136829941765,0.00022455470493787507,0.00993562559143965,0.0099686281293422,0.0034682339072474927,0.0035436259283818,0.00131671388155287,0.0012461754306806998,0.0003268058661359152,0.00034335528484199986
4D optimized,equal_total,wells,15,10,160880.8,22064742005.116806,63510217015.40226,0.20711512782605013,0.2138397373494842,0.09167193193089498,0.1285529215096509,0.8902681155759838,0.9074286585125708,0.07770959476152238,0.0855480079304457,0.9677987266801107,0.9733053864121382,0.015612837009988353,0.02380488382514867,0.868462941828741,0.8747783335534534,0.023002443300956577,0.02532845227612246,0.0013501706974242901,0.00135233580873655,0.0004810440616761347,0.0006376674394003001,0.00307579358098024,0.0027743386351814503,0.0009733425530296666,0.0006695759122795002,0.9979652392191504,0.9984378670859485,0.0013454894926748452,0.0008415768375102939,0.9998999903644314,0.9999044509561505,4.612704316269659e-05,3.817728818689137e-05,0.21573484971189724,0.21474267750188014,0.07736062066791376,0.10129752268683798,0.0008272655230897399,0.00074632654973315,0.00026142497695950614,0.00018125461402185002,0.00522046032900736,0.0052357646409799,0.0018708137189803959,0.002446639623557325,0.00126493002851604,0.0011411703225710501,0.0003997317600340669,0.0002771472975531999
4D optimized,equal_total,wells,30,10,153962.4,138749.907910917,131640.16166351573,0.12101722088196468,0.0769361063263097,0.09163868827768774,0.062473336747353975,0.721956056637388,0.6641876600282789,0.27402870721965716,0.31873568836801736,0.9645206660862083,0.977960744454382,0.03525443342262484,0.015679768890659807,0.8939039544521383,0.898762499708437,0.0424937291134405,0.06943639843101823,0.0007544659022585998,0.0006444728551012,0.000340766172346815,0.0002645050792177751,0.0024866206118833696,0.0020993275377149,0.0012397115115047683,0.001485964800283025,0.9987890396628547,0.9997910456117594,0.002457371751050471,0.00017593215031441733,0.9999059111914799,0.9999381402841587,7.204385076425658e-05,0.00012028204505354356,0.12051935723695213,0.10270754310788441,0.05468841056856957,0.04089995288014679,0.0006687744385965599,0.0005649875157646,0.0003330795233745575,0.00039982256509922494,0.0029155747261282398,0.0024944328967253498,0.0013199369296169724,0.0009926651556252252,0.00102258929699523,0.0008638939427309,0.0005092951165505911,0.0006113485387176001
