outer_fold,test_run,label,candidate,family,architecture,rank,rmse_p,rmse_so,mae_p,mae_so,prior_rmse_p,prior_rmse_so,score,storage_floats,storage_bytes,explicit_basis_floats,basis_compression,training_compression,fit_seconds,elapsed_seconds,config_json
1,1,final_accuracy,TBMD-independent-22aa05a294a7,TBMD,independent,32,0.036371588022336136,0.00023112337553517293,0.01951995575263159,8.132818322305377e-05,0.7256820069435836,0.000691746734353911,0.19211807986735227,149728,1197824,316800,2.115836717247275,79.14551720453088,0.6390970419961377,0.8349957909958903,"{""architecture"": ""independent"", ""family"": ""TBMD"", ""id"": ""TBMD-independent-22aa05a294a7"", ""modal_rank"": 32, ""property_modal_ranks"": [16, 16], ""property_rank"": 2, ""property_weights"": [1.0, 4.0], ""rank_strategy"": ""fixed"", ""scaling"": ""rms"", ""spatial_ranks"": [80, 48]}"
1,1,final_pareto,TBMD-independent-313e1ecbdfa8,TBMD,independent,32,0.04046470565664076,0.00023165040604478354,0.022465267539248646,8.416897662342613e-05,0.7256820069435836,0.000691746734353911,0.19531920848013273,120704,965632,316800,2.6246023329798516,98.17653101802757,0.5583200420005596,0.6865529159986181,"{""architecture"": ""independent"", ""family"": ""TBMD"", ""id"": ""TBMD-independent-313e1ecbdfa8"", ""modal_rank"": 32, ""property_modal_ranks"": [16, 16], ""property_rank"": 2, ""property_weights"": [1.0, 0.25], ""rank_strategy"": ""fixed"", ""scaling"": ""none"", ""spatial_ranks"": [64, 48]}"
1,1,rank_optimized_joint,TBMD-joint-acd9116c1da9,TBMD,joint,32,0.02351821718595654,0.00045198497976971745,0.012733314979554615,0.00019920486556962598,0.7256820069435836,0.000691746734353911,0.3429025280242512,259188,2073504,316800,1.22227880920413,45.72086670679198,0.8357214170027873,0.9744623329970636,"{""architecture"": ""joint"", ""family"": ""TBMD"", ""id"": ""TBMD-joint-acd9116c1da9"", ""modal_rank"": 32, ""property_rank"": 2, ""property_weights"": [1.0, 1.0], ""rank_strategy"": ""fixed"", ""scaling"": ""minmax"", ""spatial_ranks"": [80, 48]}"
1,1,property_decoupled,TBMD-independent-22aa05a294a7,TBMD,independent,32,0.036371588022336136,0.00023112337553517293,0.01951995575263159,8.132818322305377e-05,0.7256820069435836,0.000691746734353911,0.19211807986735227,149728,1197824,316800,2.115836717247275,79.14551720453088,0.6083770420009387,0.7112055830002646,"{""architecture"": ""independent"", ""family"": ""TBMD"", ""id"": ""TBMD-independent-22aa05a294a7"", ""modal_rank"": 32, ""property_modal_ranks"": [16, 16], ""property_rank"": 2, ""property_weights"": [1.0, 4.0], ""rank_strategy"": ""fixed"", ""scaling"": ""rms"", ""spatial_ranks"": [80, 48]}"
1,1,hybrid,TBMD-joint-residual-723209d14fc1,TBMD,joint-residual,24,0.03708807975868986,0.0005417618640848661,0.020256929321407234,0.0001886751789908898,0.7256820069435836,0.000691746734353911,0.4171436993026568,188708,1509664,237600,1.2590881149712785,62.79701973419251,0.957062000001315,1.0974435829994036,"{""architecture"": ""joint-residual"", ""family"": ""TBMD"", ""id"": ""TBMD-joint-residual-723209d14fc1"", ""modal_rank"": 16, ""property_rank"": 2, ""property_weights"": [1.0, 1.0], ""rank_strategy"": ""fixed"", ""residual_rank"": 8, ""scaling"": ""minmax"", ""spatial_ranks"": [64, 48]}"
1,1,POD,POD-matrix-6ec0ff3d4617,POD,matrix,32,0.012848875368348929,0.0003801484975515638,0.005221960567098857,0.0001327964291624992,0.7256820069435836,0.000691746734353911,0.2836273001705115,316800,2534400,316800,1.0,37.40625,1.289224957996339,1.3774847080057953,"{""architecture"": ""matrix"", ""family"": ""POD"", ""id"": ""POD-matrix-6ec0ff3d4617"", ""modal_rank"": 32, ""rank_strategy"": ""fixed"", ""scaling"": ""minmax""}"
1,1,POD-E,POD-E-matrix-e7c774107192,POD-E,matrix,32,0.012848875368347685,0.0003801484975515734,0.00522196056709904,0.00013279642916249918,0.7256820069435836,0.000691746734353911,0.2836273001705176,316800,2534400,316800,1.0,37.40625,1.7520297080045566,1.8471822080027778,"{""architecture"": ""matrix"", ""family"": ""POD-E"", ""id"": ""POD-E-matrix-e7c774107192"", ""modal_rank"": 32, ""rank_strategy"": ""fixed"", ""scaling"": ""minmax""}"
1,1,original_tbmd,TBMD-HOOI-joint-original-7339ef1b8352,TBMD-HOOI,joint-original,16,0.3015409232148572,0.004183771143055068,0.14308909704822917,0.0018678882422922907,0.7256820069435836,0.000691746734353911,3.2318266215687603,101860,814880,158400,1.5550755939524838,116.33909287257019,11.694574291999743,12.58025337500294,"{""architecture"": ""joint-original"", ""family"": ""TBMD-HOOI"", ""id"": ""TBMD-HOOI-joint-original-7339ef1b8352"", ""modal_energy"": 0.999999, ""property_rank"": 2, ""property_weights"": [1.0, 1.0], ""rank_strategy"": ""energy"", ""scaling"": ""minmax"", ""spatial_ranks"": [48, 48]}"
2,2,final_accuracy,TBMD-independent-49ddb52e8039,TBMD,independent,32,0.04397762159492091,0.00022768888246161258,0.02250253949437748,7.820968901552428e-05,0.5111096403933716,0.000747129353980463,0.19539752113226738,149728,1197824,316800,2.115836717247275,79.14551720453088,0.6621300830011023,0.7865837499994086,"{""architecture"": ""independent"", ""family"": ""TBMD"", ""id"": ""TBMD-independent-49ddb52e8039"", ""modal_rank"": 32, ""property_modal_ranks"": [16, 16], ""property_rank"": 2, ""property_weights"": [1.0, 2.0], ""rank_strategy"": ""fixed"", ""scaling"": ""none"", ""spatial_ranks"": [80, 48]}"
2,2,final_pareto,TBMD-independent-17e41951f6da,TBMD,independent,32,0.047975584160320356,0.000228572050647648,0.025108326943050537,8.066154442703863e-05,0.5111096403933716,0.000747129353980463,0.19989962373877607,120704,965632,316800,2.6246023329798516,98.17653101802757,0.48595599999680417,0.6538977500022156,"{""architecture"": ""independent"", ""family"": ""TBMD"", ""id"": ""TBMD-independent-17e41951f6da"", ""modal_rank"": 32, ""property_modal_ranks"": [16, 16], ""property_rank"": 2, ""property_weights"": [1.0, 0.25], ""rank_strategy"": ""fixed"", ""scaling"": ""rms"", ""spatial_ranks"": [64, 48]}"
2,2,rank_optimized_joint,TBMD-joint-acd9116c1da9,TBMD,joint,32,0.025246400892985146,0.00039772760617584965,0.014380202581082612,0.0001728691955021536,0.5111096403933716,0.000747129353980463,0.2908681497052462,259188,2073504,316800,1.22227880920413,45.72086670679198,0.7205202080003801,0.8161997089991928,"{""architecture"": ""joint"", ""family"": ""TBMD"", ""id"": ""TBMD-joint-acd9116c1da9"", ""modal_rank"": 32, ""property_rank"": 2, ""property_weights"": [1.0, 1.0], ""rank_strategy"": ""fixed"", ""scaling"": ""minmax"", ""spatial_ranks"": [80, 48]}"
2,2,property_decoupled,TBMD-independent-49ddb52e8039,TBMD,independent,32,0.04397762159492091,0.00022768888246161258,0.02250253949437748,7.820968901552428e-05,0.5111096403933716,0.000747129353980463,0.19539752113226738,149728,1197824,316800,2.115836717247275,79.14551720453088,0.523839790999773,0.6127180000039516,"{""architecture"": ""independent"", ""family"": ""TBMD"", ""id"": ""TBMD-independent-49ddb52e8039"", ""modal_rank"": 32, ""property_modal_ranks"": [16, 16], ""property_rank"": 2, ""property_weights"": [1.0, 2.0], ""rank_strategy"": ""fixed"", ""scaling"": ""none"", ""spatial_ranks"": [80, 48]}"
2,2,hybrid,TBMD-joint-residual-723209d14fc1,TBMD,joint-residual,24,0.05137594957013365,0.0005136102679103478,0.0264419403968503,0.0001883631014278468,0.5111096403933716,0.000747129353980463,0.3939816783157503,188708,1509664,237600,1.2590881149712785,62.79701973419251,0.745598458997847,0.8402525419951417,"{""architecture"": ""joint-residual"", ""family"": ""TBMD"", ""id"": ""TBMD-joint-residual-723209d14fc1"", ""modal_rank"": 16, ""property_rank"": 2, ""property_weights"": [1.0, 1.0], ""rank_strategy"": ""fixed"", ""residual_rank"": 8, ""scaling"": ""minmax"", ""spatial_ranks"": [64, 48]}"
