method,regime,budget,n_folds,rmse_p_mean,rmse_p_median,rmse_p_sd,rmse_p_q25,rmse_p_q75,rmse_so_mean,rmse_so_median,rmse_so_sd,rmse_so_q25,rmse_so_q75,mae_p_mean,mae_p_median,mae_p_sd,mae_p_q25,mae_p_q75,mae_so_mean,mae_so_median,mae_so_sd,mae_so_q25,mae_so_q75,score_mean,score_median,score_sd,score_q25,score_q75,condition_mean,condition_median,condition_sd,condition_q25,condition_q75,online_seconds_per_snapshot_mean,online_seconds_per_snapshot_median,online_seconds_per_snapshot_sd,online_seconds_per_snapshot_q25,online_seconds_per_snapshot_q75,storage_floats_mean,storage_floats_median,storage_floats_sd,storage_floats_q25,storage_floats_q75,memory_bytes_mean,memory_bytes_median,memory_bytes_sd,memory_bytes_q25,memory_bytes_q75,basis_seconds_mean,basis_seconds_median,basis_seconds_sd,basis_seconds_q25,basis_seconds_q75,measurements_mean,measurements_median,measurements_sd,measurements_q25,measurements_q75,pareto_accuracy_storage,pareto_pressure_storage,pareto_accuracy_measurements
POD,grid,2,10,28.956201610450467,29.50236819674327,1.3987931634823252,28.16669943666021,29.79080495904393,0.2656026681534063,0.2690517620245173,0.006811985857792289,0.265978688240263,0.2691237934939003,28.286280240392312,29.163705948988802,1.732569704882154,26.828306649061258,29.40793857373622,0.1284488884969524,0.13079292517843177,0.003911411440764811,0.1244288026420125,0.1308477300514892,181.23633555259255,188.1097773694337,35.438809137778904,161.0899627036856,209.20244322601664,1.2564130212460598,1.2204261144211874,0.19670448392353887,1.1677929462781718,1.236197243447505,0.0005411544150350635,1.1450488512453282e-06,0.000870508103567646,9.511278406541824e-07,0.0017042653458989,316800.0,316800.0,0.0,316800.0,316800.0,2534400.0,2534400.0,0.0,2534400.0,2534400.0,1.292954733499937,1.29505272949973,0.10029715001858687,1.2014440409984672,1.352346416999353,2.0,2.0,0.0,2.0,2.0,False,False,False
POD-E,grid,2,10,1.2381490571642704,1.178890210205612,0.29229437206918624,1.0426222153208884,1.3669548645971297,0.0036096286625862104,0.0035414304167112,0.00020993638392692815,0.0035071791347456,0.0036950709717805,1.158966113422108,1.1093645843814977,0.2602323393479249,0.969545874730495,1.3038352858328544,0.00118160205923989,0.00115395298526115,6.849111082180947e-05,0.0011399247301123,0.0012194734186714,2.881897487963563,2.9336375178043745,0.5032816870955659,2.357346735545367,3.4441981169358797,5.846257508861226,5.836404075431883,0.09549582068482726,5.794801170176545,5.851445928856648,3.436682255096497e-05,7.548533860135376e-07,7.075374880011425e-05,6.744962604016178e-07,1.434210505812688e-06,316800.0,316800.0,0.0,316800.0,316800.0,2534400.0,2534400.0,0.0,2534400.0,2534400.0,1.25942648339842,1.241910395994637,0.08394504072825856,1.2020911250001518,1.3391447919930215,2.0,2.0,0.0,2.0,2.0,False,False,True
final_accuracy,grid,2,10,111.82525401365153,158.56112849344268,76.6083236016231,0.839464045077163,159.9609317327229,0.00448060174356316,0.0037983160748665,0.0026456653662105074,0.0028697125593327,0.0040479958024633,111.66424754928975,158.4724128169514,76.75244873655579,0.4604718270600023,159.89462848839963,0.0018318103770479503,0.00128397927208235,0.0012562360767912706,0.0012138019939731,0.0016322387724809,66.85656887838783,54.02367135366846,61.61119080446621,3.504319942979553,133.32445669737456,76.97620293490166,69.83635863795682,74.90167971048037,2.393590227662221,70.76925660282463,1.761983082558279e-05,9.328007428465706e-07,5.2777128364731435e-05,7.337142947073886e-07,1.0708045420986145e-06,149728.0,149728.0,0.0,149728.0,149728.0,1197824.0,1197824.0,0.0,1197824.0,1197824.0,0.6617432206992817,0.623701541499031,0.1423143578430971,0.5486494580036378,0.6849100419931347,2.0,2.0,0.0,2.0,2.0,False,False,False
final_pareto,grid,2,10,128.03195664338756,159.73605543703516,66.78863832277095,158.01411899173206,160.63938497570527,0.0036281049194862997,0.00278717912165735,0.0021930440992643453,0.0023198059751714,0.0040474712255223,127.87674344716758,159.67962016102706,66.98053007761358,157.94106933511105,160.58401521200355,0.0014834360760947799,0.0011856644456113498,0.0010078067526439883,0.0009875932702153,0.0014256568707589,68.64645198647959,65.12281712085272,51.302533732676316,39.29963122825386,111.6221968038106,69.40262988332822,70.15357064179176,53.05286731332897,69.5796591169425,70.75720697244496,3.269376542091991e-05,8.833007620038339e-07,6.762641498407002e-05,7.600225162468291e-07,1.029135351667979e-06,120704.0,120704.0,0.0,120704.0,120704.0,965632.0,965632.0,0.0,965632.0,965632.0,0.5578846539989172,0.5259898334988975,0.12132465539589683,0.5040131669957191,0.586913375002041,2.0,2.0,0.0,2.0,2.0,False,False,False
hybrid,grid,2,10,3.3792807518140924,2.9160677640683255,2.5006312156700896,1.2087600594799262,5.234358585656926,0.039823008957157395,0.03661888565653905,0.03569791345282296,0.003803851937871,0.0646167896367054,3.249253832040091,2.7994544622022506,2.4487001825393526,1.1397620862755695,5.097229576308621,0.019242726191911908,0.01777946668961305,0.017485970563710238,0.0014733340373442,0.0314540065911665,25.47375149013112,22.170696887420743,23.89768455697253,3.640126238924659,36.23295805428138,17.57344630898313,14.599357986806343,10.599086678924888,5.829703173374277,30.825854411774273,0.00015286804511451142,9.093045148056672e-07,0.00048057775928750363,7.396616515199324e-07,1.0328947240836862e-06,188708.0,188708.0,0.0,188708.0,188708.0,1509664.0,1509664.0,0.0,1509664.0,1509664.0,0.9716671417983889,0.939834520999284,0.13759173929647145,0.8862405830004718,1.0541672090039356,2.0,2.0,0.0,2.0,2.0,False,False,False
original_basis_optimized_recovery,grid,2,10,1.6493010973894564,1.7068878647443801,0.4958363728134108,1.223536705840205,2.0788828782825077,0.02063594113178683,0.020227445177676398,0.01060544350812936,0.0081511827699284,0.0298268966424716,1.5496133711238869,1.6371974207132411,0.5028297400964639,1.1315825616775628,2.007296584072538,0.01027446157872774,0.010052760077602849,0.005257414814619616,0.0041041435809259,0.0148008814526005,13.13034184999251,12.756572639316538,6.0248918351748,6.665289081570891,16.97239090090849,7.793947359233934,8.540676088979442,1.5742847612382946,5.552186407994652,8.774583043107048,1.678781354575432e-05,7.9385716887366e-07,5.049474063666835e-05,7.152255393452662e-07,1.0147218437536263e-06,101860.0,101860.0,0.0,101860.0,101860.0,814880.0,814880.0,0.0,814880.0,814880.0,10.209926687399275,10.074531104499329,0.8754358776760668,9.508314083002915,10.710296749995903,2.0,2.0,0.0,2.0,2.0,False,False,False
rank_optimized_joint,grid,2,10,1.043892297259866,0.9626277799436855,0.41956834679409843,0.718597677216156,1.3590846328040205,0.01198785083478424,0.0132427491243492,0.006801310743827801,0.0035717603445054,0.0150329108796462,0.9668941834616003,0.8778041483072014,0.3977195987793665,0.6715723923622547,1.2953519665160995,0.0055390836734736095,0.00619045809907815,0.00346958683963355,0.0011744081773381,0.0071243926417883,7.9136504056355985,7.940518069403748,4.6460007764323485,3.5181154295070063,10.559625422714731,7.784039269808359,8.440498704900032,1.345652210747261,5.858430150303459,8.699980186842359,1.9109084962817875e-05,9.022556436580738e-07,5.745375450858725e-05,7.327669431434426e-07,1.3104586663333826e-06,259188.0,259188.0,0.0,259188.0,259188.0,2073504.0,2073504.0,0.0,2073504.0,2073504.0,1.1137917291998747,1.0975723335031944,0.17525642300395397,0.9818984160010586,1.2366713330047787,2.0,2.0,0.0,2.0,2.0,False,False,False
POD,grid,5,10,25.90130739940625,29.46927433220128,5.900550053352074,19.18687519662992,29.757405333927956,0.23784282407525031,0.26902840030348496,0.05053208437594172,0.1719270053100095,0.2691365090075438,25.381807042412294,29.08053891443462,6.0421013318021926,18.513166904005736,29.329316847058784,0.11485720350236209,0.13079840453300015,0.0258079295754481,0.081983275963523,0.1308745008859869,165.462299027323,179.420583305337,53.41923348723036,123.40966133707808,209.16645138966223,5.182414671900035,1.459482241691385,6.024937333635134,1.4009164033988448,13.639524560970624,0.0005415578962293034,8.937969873396721e-07,0.0008714329052977784,7.810150216249539e-07,0.0017121400375792,316800.0,316800.0,0.0,316800.0,316800.0,2534400.0,2534400.0,0.0,2534400.0,2534400.0,1.292954733499937,1.29505272949973,0.10029715001858687,1.2014440409984672,1.352346416999353,5.0,5.0,0.0,5.0,5.0,False,False,False
POD-E,grid,5,10,0.6333181723418251,0.6046214157877102,0.1726431858221893,0.552869657808184,0.6245682045116334,0.001094416354623,0.0009044509410176,0.0004718833813282904,0.0008533426335926,0.001102732805306,0.5836500299528942,0.5527368043975067,0.16323880929105067,0.4997679388408392,0.5770904813371669,0.00034801826848893,0.0002890364680436,0.00014946452422332196,0.0002667217516106,0.0003439360017652,0.972765474500466,1.0978457262225279,0.23911667883224713,0.7493326847315404,1.1633384936290716,70.0063781509225,69.49377089834528,2.5386208130732326,69.27148176971221,72.01845905741271,0.00021083856614645754,7.86812017764546e-07,0.0005858712664470524,6.337744215349281e-07,1.1713683970195514e-06,316800.0,316800.0,0.0,316800.0,316800.0,2534400.0,2534400.0,0.0,2534400.0,2534400.0,1.25942648339842,1.241910395994637,0.08394504072825856,1.2020911250001518,1.3391447919930215,5.0,5.0,0.0,5.0,5.0,False,False,True
final_accuracy,grid,5,10,33.622670496690866,2.485697186727896,66.59717187969338,0.4313752352231878,4.854697564815675,0.0020619483718590298,0.0013552250170051,0.0014569874829234815,0.0010014758679153,0.0029831920375168,33.526927521245184,2.390924329019187,66.6139975890357,0.3124048069732033,4.745118675623439,0.0008385297904653701,0.0005019340547127,0.0006841059600574031,0.0002947414173173,0.0012689424485811,30.31336385415229,2.439709273110485,60.116865942738286,0.8534842312025472,3.571438260164886,21248.469311997567,19489.209137896665,22438.716973754472,185.1557772037424,39936.32903865801,0.00018675134736515354,8.645075379041044e-07,0.0005878925791985862,7.568947297759018e-07,9.577067834115065e-07,149728.0,149728.0,0.0,149728.0,149728.0,1197824.0,1197824.0,0.0,1197824.0,1197824.0,0.6617432206992817,0.623701541499031,0.1423143578430971,0.5486494580036378,0.6849100419931347,5.0,5.0,0.0,5.0,5.0,False,False,False
final_pareto,grid,5,10,17.88186619933601,1.998818350050789,49.94494664989936,1.6679801555759934,3.123533505807281,0.00230044912862414,0.00181873449113535,0.0015036208724620258,0.001144158315881,0.0024567837003367,17.787591733037356,1.9054507789934716,49.955114819244606,1.5715277166276558,3.019021645891115,0.0009516955189041801,0.0007712000321728,0.0006984887867019642,0.0004353302182139,0.0010476993191567,15.45723291245452,2.4918521424308624,41.11345154844626,1.7751870317043397,3.5715140901967226,26146.124317654612,33544.14888447897,18328.282826805156,351.2066977087199,38634.91674048683,0.0002348454894727178,8.023157978388376e-07,0.0005987474526859245,6.842105391197242e-07,1.0025112550964762e-06,120704.0,120704.0,0.0,120704.0,120704.0,965632.0,965632.0,0.0,965632.0,965632.0,0.5578846539989172,0.5259898334988975,0.12132465539589683,0.5040131669957191,0.586913375002041,5.0,5.0,0.0,5.0,5.0,False,False,False
hybrid,grid,5,10,0.891690561112007,0.8395665525134024,0.4776354349348778,0.4733245357892018,1.011302652831142,0.01466400143476293,0.015107610036687601,0.011475574594176415,0.0016241327412045,0.0201160799420436,0.8215600944376688,0.7881295040229118,0.4445385473109806,0.4141789387368086,0.9323510130030592,0.007089967666027449,0.0072583875129565,0.0055937690390234695,0.000773416575239,0.0097680571739347,8.768540837309798,10.112264773150963,5.612176997853609,1.5000598954905529,13.031791714393576,87.48088883423794,93.3347034565756,12.978615392344304,72.84995202803543,96.1728134593377,0.0001569262842071714,7.307330668112614e-07,0.0004931182089168988,6.920376094933459e-07,8.580826758582117e-07,188708.0,188708.0,0.0,188708.0,188708.0,1509664.0,1509664.0,0.0,1509664.0,1509664.0,0.9716671417983889,0.939834520999284,0.13759173929647145,0.8862405830004718,1.0541672090039356,5.0,5.0,0.0,5.0,5.0,False,False,False
original_basis_optimized_recovery,grid,5,10,1.0384719992508273,0.8162896772786257,0.5421131485336325,0.6669779742227637,1.389271165194551,0.01642826203524235,0.0146493213196724,0.009831209817279774,0.0074741117652959,0.0211701036221822,0.9147109466033457,0.677346085008246,0.5585416380454845,0.5728929966729601,1.3100901768411584,0.00818371776891082,0.0073160540306841,0.0048298110196464935,0.0038480232889037,0.0105103966268129,10.68999621202129,8.042138927601389,6.976425901050733,5.773911170890342,14.716043049392736,100.01724125488745,93.10032209526636,20.895795462197412,82.29297993213176,119.76517630925927,0.00011793743759148839,8.294172902307929e-07,0.00037041468121019996,6.350225491512259e-07,9.520676974347212e-07,101860.0,101860.0,0.0,101860.0,101860.0,814880.0,814880.0,0.0,814880.0,814880.0,10.209926687399275,10.074531104499329,0.8754358776760668,9.508314083002915,10.710296749995903,5.0,5.0,0.0,5.0,5.0,False,False,False
rank_optimized_joint,grid,5,10,0.649879126795429,0.5552281012482572,0.20589137095438556,0.5010306625148212,0.765711447685113,0.01227537875471851,0.012372717701827352,0.008836883874338687,0.0013396351381951,0.0191323834348861,0.5862089443534642,0.47611612965419436,0.20940662716695732,0.4292224126437596,0.7284299804028495,0.00582897302324484,0.0058037449244448,0.004312049077244935,0.0004791738679286,0.0091891780681839,7.997690076203395,7.01256983504523,6.184517310665646,1.0757892728350746,14.112872236129173,119.80709038332157,135.16740649673352,33.897995734983134,77.06556482663675,137.67437596228112,0.0001877640338445621,7.598646607904703e-07,0.0005912497483223821,7.208646800284995e-07,9.533158250510188e-07,259188.0,259188.0,0.0,259188.0,259188.0,2073504.0,2073504.0,0.0,2073504.0,2073504.0,1.1137917291998747,1.0975723335031944,0.17525642300395397,0.9818984160010586,1.2366713330047787,5.0,5.0,0.0,5.0,5.0,False,False,False
POD,grid,10,10,8.049250649033224,6.292738910368367,3.1788671148098286,5.874342057811553,9.702942136389016,0.07652264447497546,0.0641786100102915,0.031978737022339415,0.0503772083023545,0.0898256974592012,7.6981127011915405,6.094718344590461,2.8846257602807976,5.708534631016219,9.184573299807369,0.03589443103173919,0.03072413013050685,0.014149350674719336,0.0240712965730421,0.0421331040780296,51.818863782176244,42.31707314498787,24.045703895452473,35.44755724186795,69.61394419732436,14395.014595253591,2121.5504711590256,17356.719792607877,409.81415087719614,33995.26878070338,0.0018458875939748299,0.00185405921051035,3.652031910482547e-05,0.0018380278797165,0.0018627183609011,316800.0,316800.0,0.0,316800.0,316800.0,2534400.0,2534400.0,0.0,2534400.0,2534400.0,1.292954733499937,1.29505272949973,0.10029715001858687,1.2014440409984672,1.352346416999353,10.0,10.0,0.0,10.0,10.0,False,False,False
POD-E,grid,10,10,0.26034656587054156,0.19010794166163347,0.1826222869589064,0.1581085616298861,0.3092348998900452,0.00107899393887767,0.00104173010141375,0.00036186548338035257,0.0007654811558383,0.0012073291836828,0.1880206478473943,0.09159722053700566,0.19883296956218602,0.067262658836123,0.2792048536849135,0.00034690522361839995,0.0003293186162793,0.00011482274207638413,0.0002534966468242,0.0003906357428234,0.7900990765279514,0.747676327483061,0.2790398814572462,0.6942601610406923,0.8157243898961791,1639191.364482407,58499.30805863289,3382805.814718183,188.78992695652548,72113.1841099813,8.312345892050885e-07,8.001278407952252e-07,2.483242498471366e-07,6.644737108477525e-07,8.273759464684286e-07,316800.0,316800.0,0.0,316800.0,316800.0,2534400.0,2534400.0,0.0,2534400.0,2534400.0,1.25942648339842,1.241910395994637,0.08394504072825856,1.2020911250001518,1.3391447919930215,10.0,10.0,0.0,10.0,10.0,False,False,True
