stage,outer_fold,inner_fold,candidate,family,architecture,scaling,rank_strategy,score,rmse_p,rmse_so,mae_p,mae_so,prior_rmse_p,prior_rmse_so,storage_floats,fit_seconds,elapsed_seconds,status,error,config_json
A1-structure,1,1,POD-matrix-cba43a8fe005,POD,matrix,minmax,fixed,0.4319568175988393,0.09328294478020682,0.0006709791904352581,0.048023242657413194,0.00021237398637173504,0.9733231977800255,0.0008844994759070124,79200,0.5665805829994497,0.05648625000321772,ok,,"{""architecture"": ""matrix"", ""family"": ""POD"", ""id"": ""POD-matrix-cba43a8fe005"", ""modal_rank"": 8, ""rank_strategy"": ""fixed"", ""scaling"": ""minmax""}"
A1-structure,1,1,POD-matrix-ca33e984beea,POD,matrix,minmax,fixed,0.345767511890755,0.05771128087897174,0.0005517513801428386,0.028461777744157462,0.00017245383835542882,0.9733231977800255,0.0008844994759070124,158400,0.5665805829994497,0.07550916699983645,ok,,"{""architecture"": ""matrix"", ""family"": ""POD"", ""id"": ""POD-matrix-ca33e984beea"", ""modal_rank"": 16, ""rank_strategy"": ""fixed"", ""scaling"": ""minmax""}"
A1-structure,1,1,POD-matrix-e4f3a1e03edd,POD,matrix,minmax,fixed,0.27808219206846446,0.033031970211728344,0.0004572494430272558,0.015945809475925513,0.00014723146428415748,0.9733231977800255,0.0008844994759070124,237600,0.5665805829994497,0.08393270799570018,ok,,"{""architecture"": ""matrix"", ""family"": ""POD"", ""id"": ""POD-matrix-e4f3a1e03edd"", ""modal_rank"": 24, ""rank_strategy"": ""fixed"", ""scaling"": ""minmax""}"
A1-structure,1,1,POD-matrix-6ec0ff3d4617,POD,matrix,minmax,fixed,0.21541485038871522,0.014500207274836313,0.00036421943838923734,0.007461661249917417,0.00011752683630169432,0.9733231977800255,0.0008844994759070124,316800,0.5665805829994497,0.08787799999845447,ok,,"{""architecture"": ""matrix"", ""family"": ""POD"", ""id"": ""POD-matrix-6ec0ff3d4617"", ""modal_rank"": 32, ""rank_strategy"": ""fixed"", ""scaling"": ""minmax""}"
A1-structure,1,1,POD-matrix-99da0acb2b55,POD,matrix,minmax,energy,7.302573760513919,1.0625945776793764,0.011846146396011155,0.7261064562850602,0.005478849793629782,0.9733231977800255,0.0008844994759070124,9900,0.5665805829994497,0.05279066700313706,ok,,"{""architecture"": ""matrix"", ""family"": ""POD"", ""id"": ""POD-matrix-99da0acb2b55"", ""modal_energy"": 0.99, ""rank_strategy"": ""energy"", ""scaling"": ""minmax""}"
A1-structure,1,1,POD-matrix-d84037e08250,POD,matrix,minmax,energy,3.2902823451809486,0.5792766861882382,0.005236739788610675,0.472989689523945,0.002194933925411082,0.9733231977800255,0.0008844994759070124,19800,0.5665805829994497,0.05328737500531133,ok,,"{""architecture"": ""matrix"", ""family"": ""POD"", ""id"": ""POD-matrix-d84037e08250"", ""modal_energy"": 0.999, ""rank_strategy"": ""energy"", ""scaling"": ""minmax""}"
A1-structure,1,1,POD-matrix-22d4adeec94a,POD,matrix,minmax,energy,1.37941541940502,0.17225967491127278,0.0022717019376399263,0.11337079193748956,0.0009115567108614102,0.9733231977800255,0.0008844994759070124,39600,0.5665805829994497,0.05797770899516763,ok,,"{""architecture"": ""matrix"", ""family"": ""POD"", ""id"": ""POD-matrix-22d4adeec94a"", ""modal_energy"": 0.9999, ""rank_strategy"": ""energy"", ""scaling"": ""minmax""}"
A1-structure,1,1,POD-E-matrix-cc474ae47f6b,POD-E,matrix,minmax,fixed,0.4319568175988384,0.09328294478020688,0.0006709791904352564,0.04802324265741331,0.0002123739863717284,0.9733231977800255,0.0008844994759070124,79200,0.5665805829994497,0.06114474999776576,ok,,"{""architecture"": ""matrix"", ""family"": ""POD-E"", ""id"": ""POD-E-matrix-cc474ae47f6b"", ""modal_rank"": 8, ""rank_strategy"": ""fixed"", ""scaling"": ""minmax""}"
A1-structure,1,1,POD-E-matrix-52af124c387a,POD-E,matrix,minmax,fixed,0.34576751189075433,0.05771128087897179,0.0005517513801428374,0.028461777744156758,0.00017245383835542014,0.9733231977800255,0.0008844994759070124,158400,0.5665805829994497,0.06869312500202795,ok,,"{""architecture"": ""matrix"", ""family"": ""POD-E"", ""id"": ""POD-E-matrix-52af124c387a"", ""modal_rank"": 16, ""rank_strategy"": ""fixed"", ""scaling"": ""minmax""}"
A1-structure,1,1,POD-E-matrix-265b2d511e9e,POD-E,matrix,minmax,fixed,0.27808219206846424,0.03303197021172843,0.0004572494430272553,0.015945809475924503,0.00014723146428415672,0.9733231977800255,0.0008844994759070124,237600,0.5665805829994497,0.07830174999980954,ok,,"{""architecture"": ""matrix"", ""family"": ""POD-E"", ""id"": ""POD-E-matrix-265b2d511e9e"", ""modal_rank"": 24, ""rank_strategy"": ""fixed"", ""scaling"": ""minmax""}"
A1-structure,1,1,POD-E-matrix-e7c774107192,POD-E,matrix,minmax,fixed,0.21541485038871513,0.014500207274836299,0.00036421943838923723,0.007461661249918296,0.00011752683630168394,0.9733231977800255,0.0008844994759070124,316800,0.5665805829994497,0.08660400000371737,ok,,"{""architecture"": ""matrix"", ""family"": ""POD-E"", ""id"": ""POD-E-matrix-e7c774107192"", ""modal_rank"": 32, ""rank_strategy"": ""fixed"", ""scaling"": ""minmax""}"
A1-structure,1,1,POD-E-matrix-077a72e2ec99,POD-E,matrix,minmax,energy,7.302573760513961,1.0625945776793737,0.011846146396011226,0.7261064562850569,0.005478849793629813,0.9733231977800255,0.0008844994759070124,9900,0.5665805829994497,0.05329245900065871,ok,,"{""architecture"": ""matrix"", ""family"": ""POD-E"", ""id"": ""POD-E-matrix-077a72e2ec99"", ""modal_energy"": 0.99, ""rank_strategy"": ""energy"", ""scaling"": ""minmax""}"
A1-structure,1,1,POD-E-matrix-064258efae72,POD-E,matrix,minmax,energy,3.2902823451809895,0.5792766861882369,0.005236739788610749,0.47298968952394543,0.00219493392541111,0.9733231977800255,0.0008844994759070124,19800,0.5665805829994497,0.0524323329955223,ok,,"{""architecture"": ""matrix"", ""family"": ""POD-E"", ""id"": ""POD-E-matrix-064258efae72"", ""modal_energy"": 0.999, ""rank_strategy"": ""energy"", ""scaling"": ""minmax""}"
A1-structure,1,1,POD-E-matrix-171e9fa7f660,POD-E,matrix,minmax,energy,1.3794154194050154,0.17225967491127228,0.002271701937639918,0.11337079193749301,0.0009115567108614157,0.9733231977800255,0.0008844994759070124,39600,0.5665805829994497,0.050166790999355726,ok,,"{""architecture"": ""matrix"", ""family"": ""POD-E"", ""id"": ""POD-E-matrix-171e9fa7f660"", ""modal_energy"": 0.9999, ""rank_strategy"": ""energy"", ""scaling"": ""minmax""}"
A1-structure,1,1,TBMD-joint-59361fabc7c7,TBMD,joint,minmax,fixed,7.3423297355524575,1.3489732914699306,0.011646608908300415,0.6611118931601778,0.006627147104879022,0.9733231977800255,0.0008844994759070124,30180,0.3685407910015783,0.5468861249973997,ok,,"{""architecture"": ""joint"", ""family"": ""TBMD"", ""id"": ""TBMD-joint-59361fabc7c7"", ""modal_rank"": 16, ""property_rank"": 2, ""property_weights"": [1.0, 1.0], ""rank_strategy"": ""fixed"", ""scaling"": ""minmax"", ""spatial_ranks"": [32, 24]}"
A1-structure,1,1,TBMD-joint-2e059ecb0898,TBMD,joint,minmax,fixed,4.88739276514294,0.8416593335760082,0.007806987675079369,0.343307462095882,0.003727871037648728,0.9733231977800255,0.0008844994759070124,57364,0.3039165000009234,0.402999332996842,ok,,"{""architecture"": ""joint"", ""family"": ""TBMD"", ""id"": ""TBMD-joint-2e059ecb0898"", ""modal_rank"": 16, ""property_rank"": 2, ""property_weights"": [1.0, 1.0], ""rank_strategy"": ""fixed"", ""scaling"": ""minmax"", ""spatial_ranks"": [48, 32]}"
A1-structure,1,1,TBMD-joint-547df7fea89b,TBMD,joint,minmax,fixed,2.593254280770099,0.36090838383306406,0.004224284969918373,0.18609842317562686,0.0018684485230115854,0.9733231977800255,0.0008844994759070124,82708,0.2919766659979359,0.3995399580016965,ok,,"{""architecture"": ""joint"", ""family"": ""TBMD"", ""id"": ""TBMD-joint-547df7fea89b"", ""modal_rank"": 16, ""property_rank"": 2, ""property_weights"": [1.0, 1.0], ""rank_strategy"": ""fixed"", ""scaling"": ""minmax"", ""spatial_ranks"": [48, 48]}"
A1-structure,1,1,TBMD-joint-4677f07dd08b,TBMD,joint,minmax,fixed,0.7225774842167308,0.07672487923183026,0.0011994804008159895,0.0423960923939552,0.0005437516504796055,0.9733231977800255,0.0008844994759070124,109508,0.35699645800195867,0.4521134590031579,ok,,"{""architecture"": ""joint"", ""family"": ""TBMD"", ""id"": ""TBMD-joint-4677f07dd08b"", ""modal_rank"": 16, ""property_rank"": 2, ""property_weights"": [1.0, 1.0], ""rank_strategy"": ""fixed"", ""scaling"": ""minmax"", ""spatial_ranks"": [64, 48]}"
A1-structure,1,1,TBMD-joint-485191ba8e1f,TBMD,joint,minmax,fixed,0.3723672379408571,0.06238718711995459,0.0005941113075039417,0.0336457744672517,0.00023022769995936787,0.9733231977800255,0.0008844994759070124,136308,0.3318407919941819,0.43760645799920894,ok,,"{""architecture"": ""joint"", ""family"": ""TBMD"", ""id"": ""TBMD-joint-485191ba8e1f"", ""modal_rank"": 16, ""property_rank"": 2, ""property_weights"": [1.0, 1.0], ""rank_strategy"": ""fixed"", ""scaling"": ""minmax"", ""spatial_ranks"": [80, 48]}"
A1-structure,1,1,TBMD-joint-b56a0d74debf,TBMD,joint,minmax,fixed,0.3519109725277912,0.058240518629813075,0.0005621038869580339,0.029378388717513155,0.00019204685874702366,0.9733231977800255,0.0008844994759070124,163108,0.4453467919956893,0.5445597919970169,ok,,"{""architecture"": ""joint"", ""family"": ""TBMD"", ""id"": ""TBMD-joint-b56a0d74debf"", ""modal_rank"": 16, ""property_rank"": 2, ""property_weights"": [1.0, 1.0], ""rank_strategy"": ""fixed"", ""scaling"": ""minmax"", ""spatial_ranks"": [96, 48]}"
A1-structure,1,1,TBMD-joint-2e810a40b202,TBMD,joint,minmax,fixed,0.3457675107342766,0.0577112813641556,0.000551751377441761,0.028461778107823233,0.00017245383807160263,0.9733231977800255,0.0008844994759070124,235133,0.557900542000425,0.6716894589990261,ok,,"{""architecture"": ""joint"", ""family"": ""TBMD"", ""id"": ""TBMD-joint-2e810a40b202"", ""modal_rank"": 16, ""property_rank"": 2, ""property_weights"": [1.0, 1.0], ""rank_strategy"": ""fixed"", ""scaling"": ""minmax"", ""spatial_ranks"": [139, 48]}"
A1-structure,1,1,TBMD-joint-92029b032b97,TBMD,joint,minmax,fixed,0.772915765635369,0.10467413999334459,0.0012620706084271295,0.058232050759943775,0.0005672687761867041,0.9733231977800255,0.0008844994759070124,60356,0.2720596250001108,0.3754681249993155,ok,,"{""architecture"": ""joint"", ""family"": ""TBMD"", ""id"": ""TBMD-joint-92029b032b97"", ""modal_rank"": 8, ""property_rank"": 2, ""property_weights"": [1.0, 1.0], ""rank_strategy"": ""fixed"", ""scaling"": ""minmax"", ""spatial_ranks"": [64, 48]}"
A1-structure,1,1,TBMD-joint-d964c0ccb709,TBMD,joint,minmax,fixed,0.6925014533851064,0.06244236574586485,0.0011612577530759553,0.03472816137718308,0.0005254939235932688,0.9733231977800255,0.0008844994759070124,158660,0.39213295900117373,0.5154855829969165,ok,,"{""architecture"": ""joint"", ""family"": ""TBMD"", ""id"": ""TBMD-joint-d964c0ccb709"", ""modal_rank"": 24, ""property_rank"": 2, ""property_weights"": [1.0, 1.0], ""rank_strategy"": ""fixed"", ""scaling"": ""minmax"", ""spatial_ranks"": [64, 48]}"
A1-structure,1,1,TBMD-joint-35d31a161997,TBMD,joint,minmax,fixed,0.6715973215142178,0.05483665594374703,0.0011318102537765781,0.030254700940624907,0.0005143083141160054,0.9733231977800255,0.0008844994759070124,207812,0.45208570799877634,0.5866244170028949,ok,,"{""architecture"": ""joint"", ""family"": ""TBMD"", ""id"": ""TBMD-joint-35d31a161997"", ""modal_rank"": 32, ""property_rank"": 2, ""property_weights"": [1.0, 1.0], ""rank_strategy"": ""fixed"", ""scaling"": ""minmax"", ""spatial_ranks"": [64, 48]}"
A1-structure,1,1,TBMD-joint-3777c1410e57,TBMD,joint,minmax,fixed,0.4536659727443652,0.09615931918847066,0.0007063554136556644,0.051735991143258005,0.0002640089561515497,0.9733231977800255,0.0008844994759070124,74868,0.3092967080010567,0.3999067499971716,ok,,"{""architecture"": ""joint"", ""family"": ""TBMD"", ""id"": ""TBMD-joint-3777c1410e57"", ""modal_rank"": 8, ""property_rank"": 2, ""property_weights"": [1.0, 1.0], ""rank_strategy"": ""fixed"", ""scaling"": ""minmax"", ""spatial_ranks"": [80, 48]}"
A1-structure,1,1,TBMD-joint-b91e1456e8af,TBMD,joint,minmax,fixed,0.3120833310128651,0.04154038732301494,0.0005089080191028714,0.02324202078160482,0.00020631027166499445,0.9733231977800255,0.0008844994759070124,197748,0.35706645799655234,0.4705105840039323,ok,,"{""architecture"": ""joint"", ""family"": ""TBMD"", ""id"": ""TBMD-joint-b91e1456e8af"", ""modal_rank"": 24, ""property_rank"": 2, ""property_weights"": [1.0, 1.0], ""rank_strategy"": ""fixed"", ""scaling"": ""minmax"", ""spatial_ranks"": [80, 48]}"
