method,placement,mean_kendall_tau,median_kendall_tau,minimum_kendall_tau
POD,condition_joint,0.9093742017879949,0.9126436781609196,0.8574712643678161
POD,condition_pressure,0.9184674329501916,0.9080459770114943,0.8344827586206897
POD,configured,1.0,1.0,1.0
POD,dg_joint,0.9077394636015326,0.9080459770114943,0.8528735632183909
POD,dg_pressure,0.9179565772669223,0.9080459770114943,0.8344827586206897
POD-E,condition_joint,0.9047765006385698,0.9080459770114943,0.825287356321839
POD-E,condition_pressure,0.929910600255428,0.9356321839080461,0.871264367816092
POD-E,configured,1.0,1.0,1.0
POD-E,dg_joint,0.9253128991060028,0.9356321839080461,0.8528735632183909
POD-E,dg_pressure,0.9272541507024267,0.9310344827586208,0.8574712643678161
final_accuracy,condition_joint,0.7539719029374202,0.8344827586206897,0.5448275862068965
final_accuracy,condition_pressure,0.8811749680715196,0.8804597701149426,0.8022988505747127
final_accuracy,configured,1.0,1.0,1.0
final_accuracy,dg_joint,0.7393614303959132,0.7931034482758622,0.48965517241379314
final_accuracy,dg_pressure,0.9078416347381867,0.9080459770114943,0.8344827586206897
final_pareto,condition_joint,0.7979054916985953,0.8436781609195403,0.6137931034482759
final_pareto,condition_pressure,0.8834227330779054,0.8758620689655172,0.8206896551724139
final_pareto,configured,1.0,1.0,1.0
final_pareto,dg_joint,0.7559131545338442,0.8620689655172414,0.46206896551724136
final_pareto,dg_pressure,0.9192848020434228,0.9310344827586208,0.8436781609195403
hybrid,condition_joint,0.843882503192848,0.8436781609195403,0.7241379310344828
hybrid,condition_pressure,0.8283524904214559,0.7885057471264368,0.7195402298850575
hybrid,configured,1.0,1.0,1.0
hybrid,dg_joint,0.8397956577266922,0.8344827586206897,0.7425287356321839
hybrid,dg_pressure,0.850727969348659,0.8068965517241379,0.7149425287356321
original_tbmd,condition_joint,0.8443933588761176,0.8206896551724139,0.7011494252873564
original_tbmd,condition_pressure,0.8575734355044698,0.8620689655172414,0.7471264367816092
original_tbmd,configured,1.0,1.0,1.0
original_tbmd,dg_joint,0.870242656449553,0.8482758620689655,0.7471264367816092
original_tbmd,dg_pressure,0.8833205619412516,0.871264367816092,0.7563218390804598
property_decoupled,condition_joint,0.7539719029374202,0.8344827586206897,0.5448275862068965
property_decoupled,condition_pressure,0.8811749680715196,0.8804597701149426,0.8022988505747127
property_decoupled,configured,1.0,1.0,1.0
property_decoupled,dg_joint,0.7393614303959132,0.7931034482758622,0.48965517241379314
property_decoupled,dg_pressure,0.9078416347381867,0.9080459770114943,0.8344827586206897
rank_optimized_joint,condition_joint,0.8816858237547893,0.8804597701149426,0.8114942528735632
rank_optimized_joint,condition_pressure,0.9471775223499362,0.9540229885057472,0.8988505747126437
rank_optimized_joint,configured,1.0,1.0,1.0
rank_optimized_joint,dg_joint,0.8871008939974457,0.8850574712643677,0.8068965517241379
rank_optimized_joint,dg_pressure,0.9473818646232439,0.9540229885057472,0.8850574712643677
