outer_fold,method,placement,well_1,well_2,well_3,well_4,well_5,well_6,well_7,well_8,well_9,well_10,well_11,well_12,well_13,well_14,well_15,well_16,well_17,well_18,well_19,well_20,well_21,well_22,well_23,well_24,well_25,well_26,well_27,well_28,well_29,well_30
1,final_accuracy,configured,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,final_accuracy,dg_joint,29,27,30,5,7,9,23,22,1,26,19,4,12,16,21,20,2,25,17,14,8,28,18,13,6,11,10,24,15,3
1,final_accuracy,condition_joint,29,25,30,5,7,9,24,19,1,28,20,4,12,17,22,21,2,26,15,18,8,27,16,13,6,11,10,23,14,3
1,final_accuracy,dg_pressure,28,27,30,16,21,10,19,24,9,22,17,5,8,2,18,14,11,1,23,4,3,25,20,29,13,6,12,26,7,15
1,final_accuracy,condition_pressure,28,27,30,14,23,10,20,18,9,25,17,5,8,2,19,15,11,1,24,4,3,22,21,29,13,6,12,26,7,16
1,final_pareto,configured,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,final_pareto,dg_joint,30,29,28,15,19,10,27,20,1,24,16,4,9,2,6,13,11,25,21,3,7,22,23,26,14,5,12,18,8,17
1,final_pareto,condition_joint,30,28,29,15,20,11,26,19,1,27,17,4,8,2,18,12,9,25,21,5,7,24,23,22,14,6,10,16,13,3
1,final_pareto,dg_pressure,30,29,28,15,21,10,19,20,11,22,16,5,7,2,17,13,9,1,23,4,3,25,24,27,14,6,12,26,8,18
1,final_pareto,condition_pressure,30,28,29,14,22,10,26,20,11,25,16,5,7,2,19,15,9,1,24,4,3,21,23,27,13,6,12,17,8,18
1,rank_optimized_joint,configured,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,rank_optimized_joint,dg_joint,30,27,28,15,7,14,25,23,13,26,16,4,5,1,19,18,11,24,17,10,9,29,21,22,2,8,6,20,12,3
1,rank_optimized_joint,condition_joint,28,27,29,11,6,17,21,20,13,22,18,4,5,1,19,25,10,26,14,15,8,30,23,16,2,9,7,24,12,3
1,rank_optimized_joint,dg_pressure,30,29,28,16,18,11,26,25,9,27,15,5,7,2,24,17,10,1,19,4,3,22,21,23,14,6,12,20,8,13
1,rank_optimized_joint,condition_pressure,27,28,30,16,18,11,26,25,9,29,15,5,7,2,24,17,10,1,19,4,3,23,21,22,14,6,12,20,8,13
1,property_decoupled,configured,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,property_decoupled,dg_joint,29,27,30,5,7,9,23,22,1,26,19,4,12,16,21,20,2,25,17,14,8,28,18,13,6,11,10,24,15,3
1,property_decoupled,condition_joint,29,25,30,5,7,9,24,19,1,28,20,4,12,17,22,21,2,26,15,18,8,27,16,13,6,11,10,23,14,3
1,property_decoupled,dg_pressure,28,27,30,16,21,10,19,24,9,22,17,5,8,2,18,14,11,1,23,4,3,25,20,29,13,6,12,26,7,15
1,property_decoupled,condition_pressure,28,27,30,14,23,10,20,18,9,25,17,5,8,2,19,15,11,1,24,4,3,22,21,29,13,6,12,26,7,16
1,hybrid,configured,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,hybrid,dg_joint,29,28,26,19,21,12,25,17,10,27,16,4,6,1,3,14,8,15,20,7,9,30,22,23,2,11,18,24,13,5
1,hybrid,condition_joint,30,28,26,13,12,17,25,18,14,27,19,4,6,1,3,16,9,15,21,7,8,29,22,23,2,10,11,24,20,5
1,hybrid,dg_pressure,30,28,27,16,19,12,26,20,13,29,7,4,8,2,18,14,11,9,21,3,5,23,24,25,22,6,10,1,17,15
1,hybrid,condition_pressure,30,24,27,16,19,12,29,20,13,28,7,4,8,2,18,14,11,9,21,3,5,26,23,25,22,6,10,1,17,15
1,POD,configured,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,POD,dg_joint,30,27,28,6,1,17,21,20,12,25,18,5,11,16,19,23,9,26,13,14,7,29,22,15,3,10,4,24,8,2
1,POD,condition_joint,30,27,28,6,1,16,21,20,12,25,18,5,11,17,19,23,9,26,13,14,7,29,22,15,3,10,4,24,8,2
1,POD,dg_pressure,26,28,30,14,4,16,25,24,10,29,13,12,2,15,22,20,11,27,17,9,7,23,19,18,3,6,8,21,5,1
1,POD,condition_pressure,26,28,30,14,4,16,25,24,10,29,13,12,2,15,22,20,11,27,17,9,7,23,19,18,3,6,8,21,5,1
1,POD-E,configured,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,POD-E,dg_joint,30,27,28,5,6,15,24,23,14,26,17,4,12,1,20,18,9,25,16,11,7,29,19,22,2,13,8,21,10,3
1,POD-E,condition_joint,30,27,28,5,6,17,21,20,11,25,18,4,15,1,19,23,13,26,14,16,7,29,22,12,2,10,8,24,9,3
1,POD-E,dg_pressure,30,28,29,15,17,10,26,25,9,27,16,5,8,2,24,18,11,1,19,4,3,23,20,22,14,6,12,21,7,13
1,POD-E,condition_pressure,27,28,30,15,17,10,26,24,9,29,16,5,8,2,25,18,11,1,19,4,3,23,20,22,14,6,12,21,7,13
1,original_tbmd,configured,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,original_tbmd,dg_joint,28,27,30,18,22,17,26,21,10,24,11,5,4,1,20,15,6,25,19,9,13,29,23,7,2,12,8,14,16,3
1,original_tbmd,condition_joint,28,27,30,18,22,17,26,21,10,24,16,5,4,1,20,15,6,25,19,11,14,29,23,7,2,12,8,13,9,3
1,original_tbmd,dg_pressure,30,29,27,14,16,15,26,24,9,28,8,5,6,2,1,11,12,21,20,4,3,22,23,25,19,7,10,18,17,13
1,original_tbmd,condition_pressure,30,29,27,14,15,16,26,25,9,28,8,5,6,2,1,11,12,21,23,4,3,22,18,24,20,7,10,19,17,13
2,final_accuracy,configured,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2,final_accuracy,dg_joint,28,29,30,17,19,12,23,22,1,21,16,4,10,2,6,13,8,24,20,3,7,26,18,25,14,5,11,27,9,15
2,final_accuracy,condition_joint,28,29,30,15,19,13,21,22,1,24,17,4,9,2,18,10,8,25,20,6,7,26,16,23,14,5,12,27,11,3
2,final_accuracy,dg_pressure,28,20,30,17,21,12,23,24,10,25,16,5,9,2,18,13,7,1,22,4,3,26,19,29,14,6,11,27,8,15
2,final_accuracy,condition_pressure,27,29,30,15,22,12,25,21,10,23,16,5,9,2,19,14,7,1,24,4,3,20,18,28,13,6,11,26,8,17
2,final_pareto,configured,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2,final_pareto,dg_joint,30,29,28,10,8,17,23,22,1,26,19,4,5,13,21,20,2,24,16,15,11,27,18,12,6,9,7,25,14,3
2,final_pareto,condition_joint,30,29,28,14,8,17,24,20,1,26,19,4,5,10,22,21,2,25,16,13,12,27,18,15,6,9,7,23,11,3
2,final_pareto,dg_pressure,30,29,28,16,19,12,21,20,11,23,15,3,8,2,17,13,9,1,22,4,6,25,24,27,14,5,10,26,7,18
2,final_pareto,condition_pressure,28,29,30,15,21,12,20,17,11,23,16,3,8,2,19,13,9,1,24,4,6,26,22,27,14,5,10,25,7,18
2,rank_optimized_joint,configured,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2,rank_optimized_joint,dg_joint,30,27,28,3,6,15,25,23,14,26,16,4,10,1,19,17,8,24,18,11,7,29,20,22,2,13,9,21,12,5
2,rank_optimized_joint,condition_joint,28,27,30,3,6,17,24,23,13,26,18,4,10,1,20,21,9,25,14,15,7,29,22,16,2,11,8,19,12,5
2,rank_optimized_joint,dg_pressure,30,29,28,16,18,12,26,25,10,27,15,3,7,2,23,17,9,1,19,4,5,21,20,24,14,6,11,22,8,13
2,rank_optimized_joint,condition_pressure,27,28,30,16,18,12,26,25,10,29,15,3,7,2,24,17,9,1,19,4,5,21,20,23,14,6,11,22,8,13
2,property_decoupled,configured,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2,property_decoupled,dg_joint,28,29,30,17,19,12,23,22,1,21,16,4,10,2,6,13,8,24,20,3,7,26,18,25,14,5,11,27,9,15
2,property_decoupled,condition_joint,28,29,30,15,19,13,21,22,1,24,17,4,9,2,18,10,8,25,20,6,7,26,16,23,14,5,12,27,11,3
2,property_decoupled,dg_pressure,28,20,30,17,21,12,23,24,10,25,16,5,9,2,18,13,7,1,22,4,3,26,19,29,14,6,11,27,8,15
2,property_decoupled,condition_pressure,27,29,30,15,22,12,25,21,10,23,16,5,9,2,19,14,7,1,24,4,3,20,18,28,13,6,11,26,8,17
2,hybrid,configured,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2,hybrid,dg_joint,29,27,26,5,20,12,25,19,8,28,16,4,10,1,3,15,11,17,21,7,9,30,24,23,2,14,13,22,18,6
2,hybrid,condition_joint,29,27,26,5,21,20,25,19,7,28,16,4,11,1,3,17,12,15,10,9,8,30,24,23,2,18,14,22,13,6
2,hybrid,dg_pressure,30,27,28,16,21,14,25,20,12,29,7,3,8,2,15,13,10,9,23,4,5,22,26,24,18,6,11,1,17,19
2,hybrid,condition_pressure,30,27,29,16,21,14,28,20,12,24,7,3,8,2,15,13,10,9,25,4,5,22,26,23,19,6,11,1,17,18
2,POD,configured,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2,POD,dg_joint,28,27,29,8,1,14,24,23,11,25,18,5,6,16,20,22,10,26,17,13,7,30,21,15,2,9,3,19,12,4
2,POD,condition_joint,28,27,29,8,1,14,24,23,11,25,18,5,6,17,20,22,10,26,16,13,7,30,21,15,2,9,3,19,12,4
2,POD,dg_pressure,26,29,30,14,4,16,25,23,10,28,13,12,2,15,22,19,11,27,18,8,7,24,17,20,3,6,9,21,5,1
2,POD,condition_pressure,26,29,30,14,4,16,25,23,10,28,13,12,2,15,22,19,11,27,18,8,7,24,17,20,3,6,9,21,5,1
2,POD-E,configured,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2,POD-E,dg_joint,29,27,28,3,6,15,24,23,14,26,16,4,10,1,20,18,9,25,17,12,8,30,19,22,2,13,7,21,11,5
2,POD-E,condition_joint,28,27,29,3,6,17,24,23,13,25,18,4,12,1,20,22,11,26,15,16,8,30,21,14,2,9,7,19,10,5
2,POD-E,dg_pressure,30,29,28,16,17,11,26,25,10,27,15,6,9,2,24,18,7,1,20,4,3,21,19,23,14,5,12,22,8,13
2,POD-E,condition_pressure,27,28,30,16,17,11,26,24,10,29,15,6,9,2,25,18,7,1,20,4,3,21,19,23,14,5,12,22,8,13
2,original_tbmd,configured,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2,original_tbmd,dg_joint,28,30,29,17,20,19,26,23,12,24,16,5,4,1,21,15,6,25,18,9,13,27,22,7,2,11,8,14,10,3
2,original_tbmd,condition_joint,28,30,29,3,21,19,26,22,14,24,17,5,7,1,20,16,11,25,8,9,12,27,23,6,2,15,13,18,10,4
