protocol,comparison,sensing,N,metric,median_a,median_b,n_a_better,n,p_value
P1,POD-E LS vs prior,wells-joint,10,rmse_p,0.028267114449070402,0.1877832311726103,10,10,0.001953125
P1,POD-E LS vs IDW,wells-joint,10,rmse_p,0.028267114449070402,0.061600727284368356,10,10,0.001953125
P1,POD-E LS vs TBMD l1,wells-joint,10,rmse_p,0.028267114449070402,0.4044911846777,10,10,0.001953125
P1,DG vs configured (POD-E LS),wells-joint,10,rmse_p,0.028267114449070402,0.051868041654935845,8,10,0.048828125
P1,DG vs random median (POD-E LS),wells-joint,10,rmse_p,0.028267114449070402,0.04573145045342845,10,10,0.001953125
P1,TBMD l1 vs prior,wells-joint,10,rmse_p,0.4044911846777,0.1877832311726103,0,10,0.001953125
P1,POD-E l1 vs prior,wells-joint,10,rmse_p,0.11480400913154334,0.1877832311726103,10,10,0.001953125
P1,POD-E l1 vs IDW,wells-joint,10,rmse_p,0.11480400913154334,0.061600727284368356,1,10,0.005859375
P1,POD-E l1 vs TBMD l1,wells-joint,10,rmse_p,0.11480400913154334,0.4044911846777,10,10,0.001953125
P1,IDW vs prior,wells-joint,10,rmse_p,0.061600727284368356,0.1877832311726103,10,10,0.001953125
P1,POD-E LS vs prior (So),wells-joint,10,rmse_so,0.0007383977506998,0.0013449976621341,10,10,0.001953125
P1,POD-E LS vs prior,wells-joint,30,rmse_p,0.0272534591655306,0.1877832311726103,10,10,0.001953125
P1,POD-E LS vs IDW,wells-joint,30,rmse_p,0.0272534591655306,0.0415421823738127,9,10,0.005859375
P1,POD-E LS vs TBMD l1,wells-joint,30,rmse_p,0.0272534591655306,0.3161456841626711,10,10,0.001953125
P1,DG vs configured (POD-E LS),wells-joint,30,rmse_p,0.0272534591655306,0.0272534591655289,3,10,0.4453125
P1,DG vs random median (POD-E LS),wells-joint,30,rmse_p,0.0272534591655306,0.0272534591655298,4,10,0.556640625
P1,TBMD l1 vs prior,wells-joint,30,rmse_p,0.3161456841626711,0.1877832311726103,0,10,0.001953125
P1,POD-E l1 vs prior,wells-joint,30,rmse_p,0.07011777800723215,0.1877832311726103,10,10,0.001953125
P1,POD-E l1 vs IDW,wells-joint,30,rmse_p,0.07011777800723215,0.0415421823738127,0,10,0.001953125
P1,POD-E l1 vs TBMD l1,wells-joint,30,rmse_p,0.07011777800723215,0.3161456841626711,10,10,0.001953125
P1,IDW vs prior,wells-joint,30,rmse_p,0.0415421823738127,0.1877832311726103,10,10,0.001953125
P1,POD-E LS vs prior (So),wells-joint,30,rmse_so,0.0007138055870514,0.0013449976621341,10,10,0.001953125
