sensing,N,basis,epsilon,rmse_p_mean,rmse_p_std,rmse_so_mean,rmse_so_std
grid,10,POD,0.0,28.97578135227144,1.0254714747562372,0.26023748117793977,0.0034520926597215724
grid,10,POD,0.0001,29.087561702941333,1.0294827653490415,0.26022226440417173,0.004444300620724056
grid,10,POD,0.001,30.111247147762317,1.1133045171295652,0.25888569052965094,0.008004608097010944
grid,10,POD,0.01,30.502809816643143,1.3516442045841468,0.26243553688546273,0.005936392544503713
grid,10,POD,0.1,29.622999053160775,1.1324527949443788,0.26622121904871654,0.0007505315672992256
grid,10,POD-E,0.0,0.3163176007598465,0.17830006522832026,0.00115819243156278,0.00035465235959494123
grid,10,POD-E,0.0001,0.4393403885143288,0.29986945870289833,0.00126915237440767,0.00048507391233706585
grid,10,POD-E,0.001,0.42796411461706985,0.2714907597025774,0.00126551200630096,0.00045690598149909003
grid,10,POD-E,0.01,0.4008512668135095,0.18027311873862714,0.00208934303044544,0.00044930735144924734
grid,10,POD-E,0.1,0.6353161032206944,0.12110872011639345,0.00445762358263318,0.0009685525764792551
grid,10,TBMD,0.0,0.5427448959372144,0.07640473063817114,0.0065696761118842,0.00029779909260389424
grid,10,TBMD,0.0001,0.5488099961586881,0.08269627739405837,0.00661354794814952,0.00027357567074794153
grid,10,TBMD,0.001,0.5460922446502066,0.08700535934536034,0.006575024464295221,0.00032831928185686986
grid,10,TBMD,0.01,0.5870391580879475,0.12282439420512387,0.006706597272317589,0.0005962839448942896
grid,10,TBMD,0.1,0.8061903500507356,0.15771505480703504,0.00733214336706795,0.001497574922672286
grid,30,POD,0.0,0.12405464144210614,0.040211914654652126,0.00083259031978795,0.00018663567719727213
grid,30,POD,0.0001,0.3191808406608397,0.07267913561811448,0.00089156350697869,0.00024816820528051643
grid,30,POD,0.001,0.5292463233087054,0.10745477089649731,0.00244755910805705,0.0010119484698453967
grid,30,POD,0.01,2.0055729580121215,0.2671912348043713,0.01816371611423034,0.003401259840595786
grid,30,POD,0.1,15.77799038025129,0.37604964811121167,0.14306400090789068,0.008688729237927734
grid,30,POD-E,0.0,0.12140446345004181,0.039392791073562014,0.00080402130491992,0.0001789738320696191
grid,30,POD-E,0.0001,0.11963551051969482,0.038555632153830274,0.00080147190209209,0.00017675792275133193
grid,30,POD-E,0.001,0.11183477642226422,0.033249108172040395,0.00080235054745051,0.000167910396111151
grid,30,POD-E,0.01,0.1873096388876635,0.03476972189949027,0.00131797409726805,0.00017824644563814372
grid,30,POD-E,0.1,0.40196485448611713,0.056628600402008504,0.00367194217887925,0.0005850819841130516
grid,30,TBMD,0.0,0.423783265042274,0.05590290920351087,0.00473270573402154,0.0002936373108897441
grid,30,TBMD,0.0001,0.4225991461433255,0.055815400842508224,0.00472754058226589,0.0002914913042003168
grid,30,TBMD,0.001,0.41690283422801483,0.056222008980251884,0.00469266618594499,0.00028183883042918356
grid,30,TBMD,0.01,0.4528562177466542,0.06829304515824891,0.00467708643453977,0.0002658348130445096
grid,30,TBMD,0.1,0.60089651663108,0.0838735780723481,0.00561622074019262,0.00048118167607956344
grid,100,POD,0.0,0.0906260318406897,0.02216984593666701,0.00072016075922594,0.00012343258348622557
grid,100,POD,0.0001,0.09049681046628731,0.023751852700057505,0.00072250519831122,0.0001360206956586449
grid,100,POD,0.001,0.1559843930163299,0.04785586596493124,0.0009493520476364399,0.0002692228876524797
grid,100,POD,0.01,0.7821920776994137,0.12773204982339506,0.00510189591294421,0.001784474231734969
grid,100,POD,0.1,4.355113763723206,0.21358794573140702,0.043188719869205076,0.007219370077574359
grid,100,POD-E,0.0,0.09069942355436379,0.02203091549338227,0.00071903374534358,0.00012184097002775383
grid,100,POD-E,0.0001,0.09020439443581679,0.02170680013578712,0.00071833853963245,0.00012177120797786633
grid,100,POD-E,0.001,0.0870223096905752,0.019026290340030914,0.0007148795306605199,0.00012118471379782544
grid,100,POD-E,0.01,0.11100208446624638,0.015598586028167409,0.00079716959933359,0.00013820597137392205
grid,100,POD-E,0.1,0.2513196202621501,0.036430612219186254,0.00211273892415389,0.00035484074845720614
grid,100,TBMD,0.0,0.3770426028777781,0.05945753026997831,0.00456093810778653,8.258420745802977e-05
grid,100,TBMD,0.0001,0.37683511004674897,0.05947076914831496,0.00456047009237011,8.238467687727381e-05
grid,100,TBMD,0.001,0.3755422018856196,0.05955366655240774,0.00455652036229557,8.177505436249424e-05
grid,100,TBMD,0.01,0.3826612654053499,0.056614425182859425,0.00457548017958693,8.099902826235172e-05
grid,100,TBMD,0.1,0.46874000708307906,0.050878695101497694,0.00516620282796164,0.0003131857220446682
wells-joint,5,POD,0.0,29.008207371801035,1.0910519692683045,0.01353021429467384,0.005100041665946403
wells-joint,5,POD,0.0001,28.923614653055484,1.0911964028607786,0.01282738395079088,0.005596191433369091
wells-joint,5,POD,0.001,28.158956037572334,1.0650924651374325,0.014419126053765741,0.005050008383047381
wells-joint,5,POD,0.01,23.4727347291595,1.4993399119118085,0.058368967702142026,0.006522098330561807
wells-joint,5,POD,0.1,29.404414668079475,1.1136633334575574,0.27190742815651475,0.0023802612416604393
wells-joint,5,POD-E,0.0,0.43163863124776813,0.08565631454323022,0.0007368347997214299,0.00013573887018642443
wells-joint,5,POD-E,0.0001,0.4465376520722121,0.12411082379381175,0.0007572942963871701,0.00017946712988529725
wells-joint,5,POD-E,0.001,0.4179076141935467,0.14805457216949922,0.0008616671048983801,0.00016634580894934797
wells-joint,5,POD-E,0.01,0.4248269363089515,0.1086184428167585,0.00209505669998243,0.00031739813441187067
wells-joint,5,POD-E,0.1,0.6939441970185485,0.15893453829258072,0.00428892183898396,0.0004901683682400429
wells-joint,5,TBMD,0.0,0.8243317854569888,0.2821902151860085,0.00441036359484199,0.00010906255354395241
wells-joint,5,TBMD,0.0001,0.7371144213924276,0.20436024667402003,0.00438891886337346,8.429260606982276e-05
wells-joint,5,TBMD,0.001,0.6913123934489281,0.1983580389549623,0.00430386793411466,5.277548189380841e-05
wells-joint,5,TBMD,0.01,0.7006012205373475,0.20117366262712108,0.00467382108654208,0.0001227685419054069
wells-joint,5,TBMD,0.1,0.8576018173998168,0.17887907687995647,0.0059190452870508505,0.0005022939883957157
wells-joint,10,POD,0.0,0.7007611633235749,0.30224689031786944,0.0008610929966749202,0.0003178882725960176
wells-joint,10,POD,0.0001,24.966060158986693,1.755587261200026,0.012944889375537668,0.004909381102799698
wells-joint,10,POD,0.001,22.994870442941025,1.8969012125189109,0.01121834664799934,0.0030698695642989906
wells-joint,10,POD,0.01,10.687192601286768,2.9198849580011035,0.02264117478709977,0.002212573081147198
wells-joint,10,POD,0.1,18.490149186513086,2.5780914343697447,0.14578392452406502,0.004099355328150832
wells-joint,10,POD-E,0.0,0.7790650332824841,0.44831108359598887,0.0008222999535561499,0.00018544575830573142
wells-joint,10,POD-E,0.0001,0.539431911428231,0.258706310959685,0.0007628686507725601,0.00016398949212208526
wells-joint,10,POD-E,0.001,0.37676234691166044,0.14013153289505206,0.00075820414070095,0.00014142125526023637
wells-joint,10,POD-E,0.01,0.3514581959420976,0.09673564262412808,0.00107550761261085,0.0002016528871944541
wells-joint,10,POD-E,0.1,0.5560614338636952,0.13276804314630763,0.00312860072904366,0.00035135887698162503
wells-joint,10,TBMD,0.0,1.2664344286548657,0.37841288640183096,0.00450806569856433,0.00018318979171026765
wells-joint,10,TBMD,0.0001,0.7627746208297986,0.2481505618181813,0.00440451069108646,0.00010829324863165989
wells-joint,10,TBMD,0.001,0.6013893979560663,0.09781748165117703,0.00431220933165251,6.393158218001785e-05
wells-joint,10,TBMD,0.01,0.6363513011479408,0.12773520884687734,0.00435302956830247,6.295845891237643e-05
wells-joint,10,TBMD,0.1,0.7362737322794335,0.12964149753207077,0.00530704678240737,0.0003337321657983163
wells-joint,30,POD,0.0,0.17860573601871366,0.087050223774522,0.0007447020258177499,0.00018662571973380348
wells-joint,30,POD,0.0001,2.5889559967898976,0.3613559361710688,0.00184646860928202,0.0004356004980782713
wells-joint,30,POD,0.001,1.721929139996994,0.2570670876767296,0.00146493689981554,0.00028132410630754133
wells-joint,30,POD,0.01,1.035868378557473,0.23733975339648006,0.006357651941324741,0.0014647026808054149
wells-joint,30,POD,0.1,6.515038215061973,0.3790641557437164,0.05872390238918972,0.0048790346867414
wells-joint,30,POD-E,0.0,0.17860573601870794,0.08705022377452201,0.00074470202581774,0.00018662571973378957
wells-joint,30,POD-E,0.0001,0.17037448238718472,0.0816982794759507,0.00073743652391805,0.00018279252766737104
wells-joint,30,POD-E,0.001,0.14107655413578687,0.05377669557320952,0.0007132066895826101,0.0001564735488231165
wells-joint,30,POD-E,0.01,0.1900949654229806,0.03289956667563287,0.0008692704337590399,0.00012304666306709247
wells-joint,30,POD-E,0.1,0.344476912540354,0.0578332531191806,0.00252452233942108,0.000245075544912017
wells-joint,30,TBMD,0.0,0.43230391496112947,0.049770537717865146,0.00424163912217312,3.177363223125108e-05
wells-joint,30,TBMD,0.0001,0.42974827206353494,0.0501379290495893,0.00423672592172656,2.8819752777992888e-05
wells-joint,30,TBMD,0.001,0.41931463534293023,0.050969868210810815,0.0042202755208435,2.3450753539315195e-05
wells-joint,30,TBMD,0.01,0.4323187181504916,0.06033738423636444,0.00425074497419094,2.365316418593749e-05
wells-joint,30,TBMD,0.1,0.5243893293458414,0.07027315568520458,0.00492781174560117,0.00018258403983783468
