method,grid|10|rmse_p,grid|10|rmse_so,grid|30|rmse_p,grid|30|rmse_so,grid|100|rmse_p,grid|100|rmse_so,wells-joint|5|rmse_p,wells-joint|5|rmse_so,wells-joint|10|rmse_p,wells-joint|10|rmse_so,wells-joint|30|rmse_p,wells-joint|30|rmse_so,wells-pressure|30|rmse_p,wells-pressure|30|rmse_so
No measurements (prior),0.191 ± 0.026,1.36 ± 0.067,0.191 ± 0.026,1.36 ± 0.067,0.191 ± 0.026,1.36 ± 0.067,0.191 ± 0.026,1.36 ± 0.067,0.191 ± 0.026,1.36 ± 0.067,0.191 ± 0.026,1.36 ± 0.067,0.191 ± 0.026,1.36 ± 0.067
Prior + IDW residual,0.0739 ± 0.021,2.85 ± 0.63,0.0733 ± 0.016,3.15 ± 0.57,0.0706 ± 0.015,3.11 ± 0.18,0.0755 ± 0.026,3.14 ± 0.42,0.0669 ± 0.019,2.62 ± 0.31,0.0432 ± 0.0056,1.68 ± 0.079,0.0432 ± 0.0056,1.36 ± 0.067
"POD, LS",0.0239 ± 0.011,1.05 ± 0.24,0.0225 ± 0.0098,1.01 ± 0.21,0.0226 ± 0.0079,0.927 ± 0.1,1 ± 1.1,0.83 ± 0.19,0.0329 ± 0.0099,0.743 ± 0.074,0.029 ± 0.0091,0.715 ± 0.053,0.023 ± 0.0097,3.22 ± 2.5
"POD, l1",3.64 ± 0.5,46.9 ± 7.2,1.38 ± 0.17,15.7 ± 2.3,0.598 ± 0.076,3.69 ± 0.66,9.89 ± 4.4,48.3 ± 10,1.67 ± 0.17,19.7 ± 1.3,0.749 ± 0.11,9.45 ± 0.52,2.89 ± 1,42.7 ± 11
"POD-E, LS",0.0221 ± 0.0071,1.01 ± 0.17,0.0218 ± 0.0083,1.01 ± 0.21,0.0223 ± 0.0075,0.926 ± 0.1,1.06 ± 1.7,0.903 ± 0.22,0.0312 ± 0.0093,0.759 ± 0.073,0.029 ± 0.0091,0.715 ± 0.053,0.023 ± 0.0097,3.22 ± 2.5
"POD-E, l1",0.118 ± 0.044,5.17 ± 0.79,0.076 ± 0.031,2.26 ± 0.31,0.0509 ± 0.015,1.17 ± 0.09,0.156 ± 0.061,5.05 ± 0.52,0.12 ± 0.032,3.82 ± 0.56,0.0808 ± 0.032,2.43 ± 0.28,0.109 ± 0.033,8.59 ± 1.7
"TBMD (48,48,2), LS",0.471 ± 0.14,6.43 ± 1.8,0.363 ± 0.072,5.67 ± 0.49,0.312 ± 0.04,5.23 ± 0.25,3.05 ± 4.9,5.81 ± 2.8,0.389 ± 0.077,4.61 ± 0.23,0.338 ± 0.035,4.59 ± 0.16,0.323 ± 0.034,40.1 ± 25
"TBMD (48,48,2), l1 [original]",0.503 ± 0.14,7.89 ± 2.3,0.367 ± 0.063,6.43 ± 0.34,0.313 ± 0.039,5.49 ± 0.21,0.492 ± 0.077,6.95 ± 0.67,0.418 ± 0.072,6.06 ± 0.47,0.324 ± 0.043,5.06 ± 0.24,0.314 ± 0.034,9.21 ± 1.5
"Random placement, POD-E LS (median of 20)",0.169 ± 0.075,1.45 ± 0.44,0.0432 ± 0.016,0.929 ± 0.066,0.017 ± 0.0044,0.741 ± 0.059,0.626 ± 0.6,0.843 ± 0.2,0.0491 ± 0.012,0.823 ± 0.064,0.029 ± 0.0091,0.715 ± 0.053,0.023 ± 0.0097,3.22 ± 2.5
"Configured well order, POD-E LS",,,,,,,1.49 ± 2.3,2.91 ± 1.9,0.0544 ± 0.027,0.921 ± 0.084,0.029 ± 0.0091,0.715 ± 0.053,0.023 ± 0.0097,3.22 ± 2.5
"Configured well order, TBMD l1",,,,,,,0.651 ± 0.11,10.6 ± 0.75,0.312 ± 0.032,6.64 ± 0.22,0.324 ± 0.043,5.06 ± 0.24,0.314 ± 0.034,9.21 ± 1.5
