sensing,placement,N,basis,estimator,sigma_p,rmse_p_mean,rmse_p_std,rmse_so_mean,rmse_so_std
grid,QR-POD,30,POD,L1,0.0,2.0055729580121215,0.2671912348043713,0.01816371611423034,0.003401259840595786
grid,QR-POD,30,POD,L1,0.1,2.0063230641711245,0.2664584117597467,0.018174241745245956,0.0033998177563255533
grid,QR-POD,30,POD,L1,0.5,2.023968551660662,0.2634702266366606,0.018321553315366806,0.0034302751594365503
grid,QR-POD,30,POD,L1,1.0,2.0716727325179027,0.2649041934962292,0.018666631533898567,0.0033828307760792845
grid,QR-POD,30,POD,L1,2.0,2.2345557587073093,0.238019242613877,0.020162901593331697,0.0033860683223191188
grid,QR-POD,30,POD,LS,0.0,0.12405464144210614,0.040211914654652126,0.00083259031978795,0.00018663567719727213
grid,QR-POD,30,POD,LS,0.1,0.13558801749722288,0.03757072157653067,0.00144017118749786,0.00012347275226215753
grid,QR-POD,30,POD,LS,0.5,0.28403428947393516,0.02026471324314067,0.002477370540885433,8.646913420610047e-05
grid,QR-POD,30,POD,LS,1.0,0.519095732911353,0.011621036253764358,0.004691721159318972,0.00010565773823313121
grid,QR-POD,30,POD,LS,2.0,1.0209626138965078,0.0159145644591519,0.011451242653596603,0.00026233446480514183
grid,QR-POD,30,none,IDW,0.0,0.5299475461792968,0.27241997102138527,0.0022773868722978,0.0008513527805001813
grid,QR-POD,30,none,IDW,0.1,0.5320064785096972,0.2712796908732824,0.0032852948968319995,0.0005859411867196926
grid,QR-POD,30,none,IDW,0.5,0.5722822693208378,0.25249363264158275,0.005125033555351294,0.00036141559085262683
grid,QR-POD,30,none,IDW,1.0,0.6690631589605627,0.22012405487470538,0.00940908454486466,0.0003404991660745211
grid,QR-POD,30,none,IDW,2.0,0.9466461189527828,0.1582495638896879,0.022816419700082708,0.0007354326136478909
grid,QR-POD-E,30,POD-E,L1,0.0,0.1873096388876635,0.03476972189949027,0.00131797409726805,0.00017824644563814372
grid,QR-POD-E,30,POD-E,L1,0.1,0.1909678001627622,0.032789664299016884,0.0016090190048470739,0.00016494419093626242
grid,QR-POD-E,30,POD-E,L1,0.5,0.24822259239160444,0.01865809474744097,0.0023336472792667242,0.0001285677424499125
grid,QR-POD-E,30,POD-E,L1,1.0,0.39027729278580453,0.013951516103340604,0.004122725661650615,0.00011867608223800865
grid,QR-POD-E,30,POD-E,L1,2.0,0.7967487616065643,0.0181094595677741,0.0103700139669006,0.00025136164610646734
grid,QR-POD-E,30,POD-E,LS,0.0,0.12140446345004181,0.039392791073562014,0.00080402130491992,0.0001789738320696191
grid,QR-POD-E,30,POD-E,LS,0.1,0.1338571913647259,0.03615779257009454,0.001434655672095958,0.00011109740561425218
grid,QR-POD-E,30,POD-E,LS,0.5,0.2831077890022972,0.02116136456255745,0.0024847215715187053,7.968723907185785e-05
grid,QR-POD-E,30,POD-E,LS,1.0,0.5197749822309616,0.015616854668936808,0.004702639757217704,0.0001233841308109074
grid,QR-POD-E,30,POD-E,LS,2.0,1.0206831672376475,0.017788061992255542,0.011496407783812921,0.0002458928093112133
grid,QR-POD-E,30,none,IDW,0.0,0.5289269988054173,0.26952358314939956,0.00233570527693949,0.0009009621803380358
grid,QR-POD-E,30,none,IDW,0.1,0.531169740963102,0.2688404820417094,0.0033829417166933913,0.0006414218300894505
grid,QR-POD-E,30,none,IDW,0.5,0.5695067652539006,0.24977031152441995,0.005316688251160493,0.0004505073023093037
grid,QR-POD-E,30,none,IDW,1.0,0.6649593677648148,0.21790214128273533,0.009654230039659243,0.0003607991577139867
grid,QR-POD-E,30,none,IDW,2.0,0.9466242930523249,0.16170493650717035,0.023582211481993662,0.0008172301090523296
grid,QR-TBMD,30,TBMD,L1,0.0,0.4528562177466542,0.06829304515824891,0.00467708643453977,0.0002658348130445096
grid,QR-TBMD,30,TBMD,L1,0.1,0.4540425998855132,0.0680497127457263,0.004775491838480745,0.00025416460227039325
grid,QR-TBMD,30,TBMD,L1,0.5,0.47568460382407035,0.06194994403634804,0.005069785592838297,0.0002139888756788563
grid,QR-TBMD,30,TBMD,L1,1.0,0.5608103704371552,0.05410646585404192,0.006094534621465734,0.0001678917339891788
grid,QR-TBMD,30,TBMD,L1,2.0,0.8849160919052748,0.04180650434090017,0.010887428139440379,0.00020570921425921307
grid,QR-TBMD,30,TBMD,LS,0.0,0.423783265042274,0.05590290920351087,0.00473270573402154,0.0002936373108897441
grid,QR-TBMD,30,TBMD,LS,0.1,0.4282459041677516,0.055394502803219836,0.004867822304291985,0.0002848778871384523
grid,QR-TBMD,30,TBMD,LS,0.5,0.5038373665591755,0.04949613420465556,0.005274307511959029,0.0002455504866026709
grid,QR-TBMD,30,TBMD,LS,1.0,0.6896040047184386,0.043226824866496955,0.006612210728338781,0.00020575828354923612
grid,QR-TBMD,30,TBMD,LS,2.0,1.1599444911168473,0.03890951332061038,0.012115983019249644,0.00029586312908386816
grid,QR-TBMD,30,none,IDW,0.0,0.4590656486239565,0.2215772075112097,0.0019526951477199,0.0009108678699551109
grid,QR-TBMD,30,none,IDW,0.1,0.46187228923325974,0.2197571284102062,0.0031161769258317693,0.0006803687022985912
